Numéro de support;Numéro Cartoradio;Numéro de Station;Date de mise en service;Exploitant;"Type d'antenne";"Numéro d'antenne";"Dimension de l'antenne";Directivité;Azimut;Hauteur / sol;Type service;Système;Début;Fin;Unité
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
64111;308631;0132290438;12/07/2012;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
64111;308631;0132290438;21/11/2018;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
64111;308631;0132290438;29/04/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
64111;308631;0132290438;28/11/2019;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91687;2.1;Directif;45.0;20.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91689;2.1;Directif;120.0;20.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
64111;308631;0132290438;26/09/2022;ORANGE;Tout en 1(panneau-faisceau orientable);91691;2.1;Directif;315.0;20.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
73229;53686;0132290044;10/12/2020;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
73229;53686;0132290044;10/12/2020;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
73229;53686;0132290044;10/12/2020;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
73229;53686;0132290044;10/12/2020;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
73229;53686;0132290044;07/01/2021;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
73229;53686;0132290044;07/01/2021;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
73229;53686;0132290044;07/01/2021;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
73229;53686;0132290044;07/01/2021;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
73229;53686;0132290044;12/02/2021;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
73229;53686;0132290044;12/02/2021;ORANGE;Panneau;115744;1.9;Directif;20.0;17.0;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
73229;53686;0132290044;12/02/2021;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
73229;53686;0132290044;12/02/2021;ORANGE;Panneau;115745;2.0;Directif;160.0;17.0;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
73431;78111;0132290162;26/11/2020;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
73431;78111;0132290162;21/01/2021;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
73431;78111;0132290162;21/01/2021;ORANGE;Panneau;116032;2.0;Directif;350.0;17.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
73499;80640;0132290196;29/11/2018;ORANGE;Panneau;116147;2.0;Directif;360.0;13.5;TEL MOBILE;LTE 800;811.0;821.0;MHz
