Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
169070;5.26018;43.435135;"43°26'6.486""N 5°15'36.648""E";13117;Avenue Denis Padovani;"";13127;VITROLLES;01/10/2021;En intérieur;RPUB_142447.pdf;Oui;1.28;Locaux professionnels non accessibles au public;EXEM
169083;4.9879;43.416949;"43°25'1.016""N 4°59'16.440""E";13077;Allée des Genêts;"";13110;PORT DE BOUC;30/09/2021;En extérieur;RPUB_142465.pdf;Oui;0.36;"Lieu d'habitation";EXEM
169241;5.222886;43.410197;"43°24'36.709""N 5°13'22.390""E";13054;Avenue Lacanau;"";13700;MARIGNANE;15/10/2021;En extérieur;RPUB_142608.pdf;Oui;3.34;Rue / Route / Parking;EXEM
169248;5.413927;43.26641;"43°15'59.076""N 5°24'50.137""E";13209;Allée des Cyclamens;"";13009;MARSEILLE 9E ARRONDISSEMENT;18/10/2021;En intérieur;RPUB_142606.pdf;Oui;0.02;"Lieu d'habitation";EXEM
169441;5.576246;43.287909;"43°17'16.472""N 5°34'34.486""E";13005;Avenue de Verdun;"";13400;AUBAGNE;15/10/2021;En extérieur;RPUB_142810.pdf;Oui;1.48;Rue / Route / Parking;EXEM
169450;4.980262;43.401103;"43°24'3.971""N 4°58'48.943""E";13077;Avenue Maurice Thorez;"";13110;PORT DE BOUC;20/10/2021;En extérieur;RPUB_142826.pdf;Oui;0.86;Rue / Route / Parking;EXEM
169493;5.454669;43.292214;"43°17'31.970""N 5°27'16.808""E";13211;Autoroute A50;"";13011;MARSEILLE 11E ARRONDISSEMENT;20/10/2021;En extérieur;RPUB_142829.pdf;Oui;2.21;Rue / Route / Parking;EXEM
169555;5.471592;43.286081;"43°17'9.892""N 5°28'17.731""E";13211;Boulevard de Saint-Marcel;"";13011;MARSEILLE 11E ARRONDISSEMENT;20/10/2021;En extérieur;RPUB_142917.pdf;Oui;0.89;Rue / Route / Parking;EXEM
169565;5.245512;43.396324;"43°23'46.766""N 5°14'43.843""E";13043;Avenue des Valampes;"";13180;GIGNAC LA NERTHE;20/10/2021;En extérieur;RPUB_142920.pdf;Oui;0.86;Rue / Route / Parking;EXEM
169572;5.383069;43.306607;"43°18'23.785""N 5°22'59.048""E";13203;Boulevard National;"";13003;MARSEILLE 3E ARRONDISSEMENT;20/10/2021;En extérieur;RPUB_142916.pdf;Oui;1.33;Rue / Route / Parking;EXEM
169580;5.421362;43.33985;"43°20'23.460""N 5°25'16.903""E";13213;Chemin de Château Gombert;"";13013;MARSEILLE 13E ARRONDISSEMENT;27/10/2021;En extérieur;RPUB_142949.pdf;Oui;0.63;Rue / Route / Parking;EXEM
