Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
169070;DECT (Téléphone domestique);1880-1900;0.84;""
169083;DECT (Téléphone domestique);1880-1900;"";""
169241;DECT (Téléphone domestique);1880-1900;"";""
169493;DECT (Téléphone domestique);1880-1900;"";""
169793;DECT (Téléphone domestique);1880-1900;"";""
170167;DECT (Téléphone domestique);1880-1900;"";""
170185;DECT (Téléphone domestique);1880-1900;"";""
170190;DECT (Téléphone domestique);1880-1900;"";""
170192;DECT (Téléphone domestique);1880-1900;"";""
170198;DECT (Téléphone domestique);1880-1900;"";""
170221;DECT (Téléphone domestique);1880-1900;"";""
170244;DECT (Téléphone domestique);1880-1900;"";""
170267;DECT (Téléphone domestique);1880-1900;"";""
170275;DECT (Téléphone domestique);1880-1900;"";""
170278;DECT (Téléphone domestique);1880-1900;"";""
170292;DECT (Téléphone domestique);1880-1900;"";""
170293;DECT (Téléphone domestique);1880-1900;"";""
170296;DECT (Téléphone domestique);1880-1900;"";""
170300;DECT (Téléphone domestique);1880-1900;"";""
170303;DECT (Téléphone domestique);1880-1900;"";""
170310;DECT (Téléphone domestique);1880-1900;"";""
170318;DECT (Téléphone domestique);1880-1900;"";""
170328;DECT (Téléphone domestique);1880-1900;"";""
170334;DECT (Téléphone domestique);1880-1900;"";""
170340;DECT (Téléphone domestique);1880-1900;"";""
170344;DECT (Téléphone domestique);1880-1900;"";""
170361;DECT (Téléphone domestique);1880-1900;"";""
170407;DECT (Téléphone domestique);1880-1900;"";""
170422;DECT (Téléphone domestique);1880-1900;"";""
170486;DECT (Téléphone domestique);1880-1900;"";""
170488;DECT (Téléphone domestique);1880-1900;"";""
170578;DECT (Téléphone domestique);1880-1900;"";""
170579;DECT (Téléphone domestique);1880-1900;"";""
170601;DECT (Téléphone domestique);1880-1900;"";""
170627;DECT (Téléphone domestique);1880-1900;"";""
170654;DECT (Téléphone domestique);1880-1900;"";""
170682;DECT (Téléphone domestique);1880-1900;"";""
170696;DECT (Téléphone domestique);1880-1900;"";""
170779;DECT (Téléphone domestique);1880-1900;"";""
170784;DECT (Téléphone domestique);1880-1900;"";""
170791;DECT (Téléphone domestique);1880-1900;"";""
170803;DECT (Téléphone domestique);1880-1900;"";""
170812;DECT (Téléphone domestique);1880-1900;"";""
170830;DECT (Téléphone domestique);1880-1900;"";""
170835;DECT (Téléphone domestique);1880-1900;"";""
170851;DECT (Téléphone domestique);1880-1900;"";""
170865;DECT (Téléphone domestique);1880-1900;"";""
170872;DECT (Téléphone domestique);1880-1900;"";""
170875;DECT (Téléphone domestique);1880-1900;"";""
170876;DECT (Téléphone domestique);1880-1900;"";""
170899;DECT (Téléphone domestique);1880-1900;"";""
170923;DECT (Téléphone domestique);1880-1900;"";""
170926;DECT (Téléphone domestique);1880-1900;"";""
170928;DECT (Téléphone domestique);1880-1900;"";""
170938;DECT (Téléphone domestique);1880-1900;0.08;""
170942;DECT (Téléphone domestique);1880-1900;"";""
170954;DECT (Téléphone domestique);1880-1900;"";""
171043;DECT (Téléphone domestique);1880-1900;"";""
171057;DECT (Téléphone domestique);1880-1900;"";""
171065;DECT (Téléphone domestique);1880-1900;"";""
171087;DECT (Téléphone domestique);1880-1900;"";""
171141;DECT (Téléphone domestique);1880-1900;"";""
171143;DECT (Téléphone domestique);1880-1900;"";""
171194;DECT (Téléphone domestique);1880-1900;"";""
171202;DECT (Téléphone domestique);1880-1900;"";""
171239;DECT (Téléphone domestique);1880-1900;"";""
171243;DECT (Téléphone domestique);1880-1900;"";""
171268;DECT (Téléphone domestique);1880-1900;"";""
171316;DECT (Téléphone domestique);1880-1900;"";""
171321;DECT (Téléphone domestique);1880-1900;"";""
171325;DECT (Téléphone domestique);1880-1900;"";""
171329;DECT (Téléphone domestique);1880-1900;"";""
171354;DECT (Téléphone domestique);1880-1900;"";""
171356;DECT (Téléphone domestique);1880-1900;"";""
171357;DECT (Téléphone domestique);1880-1900;"";""
171358;DECT (Téléphone domestique);1880-1900;"";""
171359;DECT (Téléphone domestique);1880-1900;"";""
171362;DECT (Téléphone domestique);1880-1900;"";""
171363;DECT (Téléphone domestique);1880-1900;"";""
171365;DECT (Téléphone domestique);1880-1900;"";""
171375;DECT (Téléphone domestique);1880-1900;"";""
171377;DECT (Téléphone domestique);1880-1900;"";""
171382;DECT (Téléphone domestique);1880-1900;"";""
171384;DECT (Téléphone domestique);1880-1900;"";""
171396;DECT (Téléphone domestique);1880-1900;"";""
171403;DECT (Téléphone domestique);1880-1900;"";""
171409;DECT (Téléphone domestique);1880-1900;"";""
171410;DECT (Téléphone domestique);1880-1900;"";""
171413;DECT (Téléphone domestique);1880-1900;0.1;""
171415;DECT (Téléphone domestique);1880-1900;"";""
171417;DECT (Téléphone domestique);1880-1900;"";""
171422;DECT (Téléphone domestique);1880-1900;"";""
171428;DECT (Téléphone domestique);1880-1900;"";""
171441;DECT (Téléphone domestique);1880-1900;"";""
171442;DECT (Téléphone domestique);1880-1900;"";""
171454;DECT (Téléphone domestique);1880-1900;"";""
171455;DECT (Téléphone domestique);1880-1900;"";""
171466;DECT (Téléphone domestique);1880-1900;"";""
171470;DECT (Téléphone domestique);1880-1900;"";""
171477;DECT (Téléphone domestique);1880-1900;"";""
171486;DECT (Téléphone domestique);1880-1900;"";""
171489;DECT (Téléphone domestique);1880-1900;"";""
171492;DECT (Téléphone domestique);1880-1900;"";""
171494;DECT (Téléphone domestique);1880-1900;"";""
171495;DECT (Téléphone domestique);1880-1900;"";""
171498;DECT (Téléphone domestique);1880-1900;"";""
171499;DECT (Téléphone domestique);1880-1900;"";""
171500;DECT (Téléphone domestique);1880-1900;"";""
171503;DECT (Téléphone domestique);1880-1900;"";""
171506;DECT (Téléphone domestique);1880-1900;"";""
171509;DECT (Téléphone domestique);1880-1900;"";""
171511;DECT (Téléphone domestique);1880-1900;"";""
171514;DECT (Téléphone domestique);1880-1900;"";""
171516;DECT (Téléphone domestique);1880-1900;"";""
171517;DECT (Téléphone domestique);1880-1900;"";""
171519;DECT (Téléphone domestique);1880-1900;"";""
171521;DECT (Téléphone domestique);1880-1900;"";""
171522;DECT (Téléphone domestique);1880-1900;"";""
171527;DECT (Téléphone domestique);1880-1900;"";""
171528;DECT (Téléphone domestique);1880-1900;"";""
171529;DECT (Téléphone domestique);1880-1900;"";""
171531;DECT (Téléphone domestique);1880-1900;"";""
171532;DECT (Téléphone domestique);1880-1900;"";""
171536;DECT (Téléphone domestique);1880-1900;"";""
171538;DECT (Téléphone domestique);1880-1900;"";""
171540;DECT (Téléphone domestique);1880-1900;"";""
171542;DECT (Téléphone domestique);1880-1900;"";""
171544;DECT (Téléphone domestique);1880-1900;"";""
171551;DECT (Téléphone domestique);1880-1900;"";""
171552;DECT (Téléphone domestique);1880-1900;"";""
171553;DECT (Téléphone domestique);1880-1900;"";""
171555;DECT (Téléphone domestique);1880-1900;"";""
171556;DECT (Téléphone domestique);1880-1900;"";""
171570;DECT (Téléphone domestique);1880-1900;"";""
171582;DECT (Téléphone domestique);1880-1900;"";""
171606;DECT (Téléphone domestique);1880-1900;"";""
171639;DECT (Téléphone domestique);1880-1900;"";""
171641;DECT (Téléphone domestique);1880-1900;"";""
171644;DECT (Téléphone domestique);1880-1900;"";""
171654;DECT (Téléphone domestique);1880-1900;"";""
171666;DECT (Téléphone domestique);1880-1900;"";""
171671;DECT (Téléphone domestique);1880-1900;"";""
171687;DECT (Téléphone domestique);1880-1900;"";""
171689;DECT (Téléphone domestique);1880-1900;"";""
171691;DECT (Téléphone domestique);1880-1900;"";""
171693;DECT (Téléphone domestique);1880-1900;0.01;""
171695;DECT (Téléphone domestique);1880-1900;"";""
171696;DECT (Téléphone domestique);1880-1900;"";""
171697;DECT (Téléphone domestique);1880-1900;"";""
171698;DECT (Téléphone domestique);1880-1900;"";""
171701;DECT (Téléphone domestique);1880-1900;"";""
171702;DECT (Téléphone domestique);1880-1900;"";""
171703;DECT (Téléphone domestique);1880-1900;"";""
171707;DECT (Téléphone domestique);1880-1900;"";""
171710;DECT (Téléphone domestique);1880-1900;"";""
171712;DECT (Téléphone domestique);1880-1900;"";""
171713;DECT (Téléphone domestique);1880-1900;"";""
171714;DECT (Téléphone domestique);1880-1900;"";""
171715;DECT (Téléphone domestique);1880-1900;"";""
171716;DECT (Téléphone domestique);1880-1900;"";""
171717;DECT (Téléphone domestique);1880-1900;"";""
171719;DECT (Téléphone domestique);1880-1900;"";""
171720;DECT (Téléphone domestique);1880-1900;"";""
171722;DECT (Téléphone domestique);1880-1900;"";""
171723;DECT (Téléphone domestique);1880-1900;"";""
171724;DECT (Téléphone domestique);1880-1900;"";""
171727;DECT (Téléphone domestique);1880-1900;"";""
171728;DECT (Téléphone domestique);1880-1900;"";""
171729;DECT (Téléphone domestique);1880-1900;"";""
171731;DECT (Téléphone domestique);1880-1900;"";""
171732;DECT (Téléphone domestique);1880-1900;"";""
171733;DECT (Téléphone domestique);1880-1900;"";""
171735;DECT (Téléphone domestique);1880-1900;"";""
171736;DECT (Téléphone domestique);1880-1900;"";""
171737;DECT (Téléphone domestique);1880-1900;"";""
171739;DECT (Téléphone domestique);1880-1900;"";""
171742;DECT (Téléphone domestique);1880-1900;"";""
171743;DECT (Téléphone domestique);1880-1900;"";""
171747;DECT (Téléphone domestique);1880-1900;"";""
171748;DECT (Téléphone domestique);1880-1900;"";""
171749;DECT (Téléphone domestique);1880-1900;"";""
171750;DECT (Téléphone domestique);1880-1900;"";""
171751;DECT (Téléphone domestique);1880-1900;"";""
171752;DECT (Téléphone domestique);1880-1900;"";""
171754;DECT (Téléphone domestique);1880-1900;"";""
171755;DECT (Téléphone domestique);1880-1900;"";""
171758;DECT (Téléphone domestique);1880-1900;"";""
171767;DECT (Téléphone domestique);1880-1900;"";""
171768;DECT (Téléphone domestique);1880-1900;"";""
171769;DECT (Téléphone domestique);1880-1900;"";""
171770;DECT (Téléphone domestique);1880-1900;"";""
171772;DECT (Téléphone domestique);1880-1900;"";""
171774;DECT (Téléphone domestique);1880-1900;"";""
171775;DECT (Téléphone domestique);1880-1900;"";""
171776;DECT (Téléphone domestique);1880-1900;"";""
171777;DECT (Téléphone domestique);1880-1900;"";""
171781;DECT (Téléphone domestique);1880-1900;"";""
171783;DECT (Téléphone domestique);1880-1900;"";""
171784;DECT (Téléphone domestique);1880-1900;"";""
171787;DECT (Téléphone domestique);1880-1900;"";""
171789;DECT (Téléphone domestique);1880-1900;"";""
171800;DECT (Téléphone domestique);1880-1900;"";""
171801;DECT (Téléphone domestique);1880-1900;"";""
171803;DECT (Téléphone domestique);1880-1900;"";""
171805;DECT (Téléphone domestique);1880-1900;"";""
171810;DECT (Téléphone domestique);1880-1900;"";""
171812;DECT (Téléphone domestique);1880-1900;"";""
171814;DECT (Téléphone domestique);1880-1900;"";""
171816;DECT (Téléphone domestique);1880-1900;"";""
171818;DECT (Téléphone domestique);1880-1900;"";""
171826;DECT (Téléphone domestique);1880-1900;"";""
171830;DECT (Téléphone domestique);1880-1900;"";""
171836;DECT (Téléphone domestique);1880-1900;"";""
171842;DECT (Téléphone domestique);1880-1900;"";""
171857;DECT (Téléphone domestique);1880-1900;"";""
171863;DECT (Téléphone domestique);1880-1900;"";""
171877;DECT (Téléphone domestique);1880-1900;"";""
171880;DECT (Téléphone domestique);1880-1900;"";""
172016;DECT (Téléphone domestique);1880-1900;"";""
172019;DECT (Téléphone domestique);1880-1900;"";""
172020;DECT (Téléphone domestique);1880-1900;"";""
172021;DECT (Téléphone domestique);1880-1900;"";""
172022;DECT (Téléphone domestique);1880-1900;"";""
172023;DECT (Téléphone domestique);1880-1900;"";""
172024;DECT (Téléphone domestique);1880-1900;"";""
172025;DECT (Téléphone domestique);1880-1900;"";""
172026;DECT (Téléphone domestique);1880-1900;"";""
172027;DECT (Téléphone domestique);1880-1900;"";""
172028;DECT (Téléphone domestique);1880-1900;"";""
172029;DECT (Téléphone domestique);1880-1900;"";""
172030;DECT (Téléphone domestique);1880-1900;"";""
172031;DECT (Téléphone domestique);1880-1900;"";""
172033;DECT (Téléphone domestique);1880-1900;"";""
172034;DECT (Téléphone domestique);1880-1900;"";""
172035;DECT (Téléphone domestique);1880-1900;"";""
172036;DECT (Téléphone domestique);1880-1900;"";""
172037;DECT (Téléphone domestique);1880-1900;"";""
172038;DECT (Téléphone domestique);1880-1900;"";""
172039;DECT (Téléphone domestique);1880-1900;"";""
172040;DECT (Téléphone domestique);1880-1900;"";""
172041;DECT (Téléphone domestique);1880-1900;"";""
172042;DECT (Téléphone domestique);1880-1900;"";""
172043;DECT (Téléphone domestique);1880-1900;"";""
172045;DECT (Téléphone domestique);1880-1900;"";""
172046;DECT (Téléphone domestique);1880-1900;"";""
172047;DECT (Téléphone domestique);1880-1900;"";""
172048;DECT (Téléphone domestique);1880-1900;"";""
172049;DECT (Téléphone domestique);1880-1900;"";""
172050;DECT (Téléphone domestique);1880-1900;"";""
172051;DECT (Téléphone domestique);1880-1900;"";""
172052;DECT (Téléphone domestique);1880-1900;"";""
172053;DECT (Téléphone domestique);1880-1900;"";""
172054;DECT (Téléphone domestique);1880-1900;"";""
172055;DECT (Téléphone domestique);1880-1900;"";""
172056;DECT (Téléphone domestique);1880-1900;"";""
172057;DECT (Téléphone domestique);1880-1900;"";""
172058;DECT (Téléphone domestique);1880-1900;"";""
172059;DECT (Téléphone domestique);1880-1900;"";""
172060;DECT (Téléphone domestique);1880-1900;"";""
172061;DECT (Téléphone domestique);1880-1900;"";""
172062;DECT (Téléphone domestique);1880-1900;"";""
172063;DECT (Téléphone domestique);1880-1900;"";""
172064;DECT (Téléphone domestique);1880-1900;"";""
172066;DECT (Téléphone domestique);1880-1900;"";""
172067;DECT (Téléphone domestique);1880-1900;"";""
172068;DECT (Téléphone domestique);1880-1900;"";""
172069;DECT (Téléphone domestique);1880-1900;"";""
172070;DECT (Téléphone domestique);1880-1900;"";""
172071;DECT (Téléphone domestique);1880-1900;"";""
172072;DECT (Téléphone domestique);1880-1900;"";""
172073;DECT (Téléphone domestique);1880-1900;"";""
172074;DECT (Téléphone domestique);1880-1900;"";""
172075;DECT (Téléphone domestique);1880-1900;"";""
172076;DECT (Téléphone domestique);1880-1900;"";""
172077;DECT (Téléphone domestique);1880-1900;"";""
172078;DECT (Téléphone domestique);1880-1900;"";""
172079;DECT (Téléphone domestique);1880-1900;"";""
172080;DECT (Téléphone domestique);1880-1900;"";""
172085;DECT (Téléphone domestique);1880-1900;"";""
172087;DECT (Téléphone domestique);1880-1900;"";""
172088;DECT (Téléphone domestique);1880-1900;"";""
172090;DECT (Téléphone domestique);1880-1900;"";""
172092;DECT (Téléphone domestique);1880-1900;"";""
172093;DECT (Téléphone domestique);1880-1900;"";""
172094;DECT (Téléphone domestique);1880-1900;"";""
172095;DECT (Téléphone domestique);1880-1900;"";""
172096;DECT (Téléphone domestique);1880-1900;"";""
172097;DECT (Téléphone domestique);1880-1900;"";""
172099;DECT (Téléphone domestique);1880-1900;"";""
172100;DECT (Téléphone domestique);1880-1900;"";""
172102;DECT (Téléphone domestique);1880-1900;"";""
172104;DECT (Téléphone domestique);1880-1900;"";""
172105;DECT (Téléphone domestique);1880-1900;"";""
172107;DECT (Téléphone domestique);1880-1900;"";""
172108;DECT (Téléphone domestique);1880-1900;"";""
172109;DECT (Téléphone domestique);1880-1900;"";""
172110;DECT (Téléphone domestique);1880-1900;"";""
172111;DECT (Téléphone domestique);1880-1900;"";""
172112;DECT (Téléphone domestique);1880-1900;"";""
172113;DECT (Téléphone domestique);1880-1900;"";""
172126;DECT (Téléphone domestique);1880-1900;"";""
172127;DECT (Téléphone domestique);1880-1900;"";""
172128;DECT (Téléphone domestique);1880-1900;"";""
172129;DECT (Téléphone domestique);1880-1900;"";""
172130;DECT (Téléphone domestique);1880-1900;"";""
172131;DECT (Téléphone domestique);1880-1900;"";""
172132;DECT (Téléphone domestique);1880-1900;"";""
172133;DECT (Téléphone domestique);1880-1900;"";""
172134;DECT (Téléphone domestique);1880-1900;"";""
172135;DECT (Téléphone domestique);1880-1900;"";""
172136;DECT (Téléphone domestique);1880-1900;"";""
172137;DECT (Téléphone domestique);1880-1900;"";""
172139;DECT (Téléphone domestique);1880-1900;"";""
