Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
64111;5.4191666666666665;43.297777777777775;"43°17'52.000""N 5°25'9.000""E";13212;ST JEAN DU DESERT;10-12 BD  DU GARLABAN;13012;MARSEILLE 12E ARRONDISSEMENT;Immeuble;22.0;"Copropriété, Syndic, SCI"
73229;5.5777777777777775;43.415;"43°24'54.000""N 5°34'40.000""E";13013;LE CHÂTEAU;"";13720;BELCODENE;Pylône autostable;21.0;TOTEM
73431;5.3438888888888885;43.378055555555555;"43°22'41.000""N 5°20'38.000""E";13071;"";CHEM LE VAL BÂT.3;13170;PENNES MIRABEAU;Immeuble;22.0;Société HLM
73499;5.3675;43.397777777777776;"43°23'52.000""N 5°22'3.000""E";13106;CHAPELLE;R DU VALLON DU MAIRE;13240;SEPTEMES LES VALLONS;Monument religieux;18.0;"Commune, communauté de commune"
73537;5.3886111111111115;43.27027777777778;"43°16'13.000""N 5°23'19.000""E";13208;"";343 AV DU PRADO CTRE TÉLÉPHONIQUE;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;20.0;ORANGE Services Fixes
73541;5.389722222222222;43.27472222222222;"43°16'29.000""N 5°23'23.000""E";13208;"";258 AV DU PRADO BRICORAMA;13008;MARSEILLE 8E ARRONDISSEMENT;Bâtiment;40.0;"Copropriété, Syndic, SCI"
73703;5.542222222222222;43.21333333333333;"43°12'48.000""N 5°32'32.000""E";13022;"";"AV DE REVESTEL LA VIGIE DE L'ARÈNE - BÂT.B";13260;CASSIS;Immeuble;16.0;"Copropriété, Syndic, SCI"
73741;5.608333333333333;43.175555555555555;"43°10'32.000""N 5°36'30.000""E";13028;VIEUX PORT;"17, R DES POILUS";13600;CIOTAT;Immeuble;24.0;Particulier
105860;5.855;43.39277777777778;"43°23'34.000""N 5°51'18.000""E";83110;ST-JAUME;RTE DE BRIGNOLES;83170;ROUGIERS;Immeuble;18.0;"Coopérative Agricole, Vinicole"
133633;4.836111111111111;43.408055555555556;"43°24'29.000""N 4°50'10.000""E";13039;PORT AUTONOME;MÔLE GRAVELEAU TERMINAL DES CONTENEURS;13270;FOS SUR MER;Immeuble;24.0;"Copropriété, Syndic, SCI"
141627;5.364444444444445;43.30111111111111;"43°18'4.000""N 5°21'52.000""E";13202;"";1 R MARCHETTI;13002;MARSEILLE 2E ARRONDISSEMENT;Immeuble;28.0;"Copropriété, Syndic, SCI"
142287;5.3597222222222225;43.233333333333334;"43°14'0.000""N 5°21'35.000""E";13208;"";"40, AV DE LA MADRAGUE DE MONTREDON";13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;19.0;Société HLM
145182;5.381666666666667;43.285;"43°17'6.000""N 5°22'54.000""E";13206;"";55 R EDMOND ROSTAND;13006;MARSEILLE 6E ARRONDISSEMENT;Immeuble;32.0;"Copropriété, Syndic, SCI"
147284;5.351666666666667;43.388333333333335;"43°23'18.000""N 5°21'6.000""E";13106;"";38B CHEM DE LA BEDOULE;13240;SEPTEMES LES VALLONS;Pylône autostable;25.0;TOTEM
207895;5.555555555555555;43.284166666666664;"43°17'3.000""N 5°33'20.000""E";13005;"";TRAVERSE DE LA MUÉE LES LILAS;13400;AUBAGNE;Immeuble;18.0;Particulier
241446;5.366388888888889;43.27583333333333;"43°16'33.000""N 5°21'59.000""E";13207;"";341 CHEM DU ROUCAS BLANC;13007;MARSEILLE 7E ARRONDISSEMENT;Immeuble;14.0;Association
268039;5.0247222222222225;43.41111111111111;"43°24'40.000""N 5°1'29.000""E";13056;"";R DES ORMEAUX;13500;MARTIGUES;Pylône autostable;12.0;TOTEM
273632;5.439722222222223;43.31111111111111;"43°18'40.000""N 5°26'23.000""E";13212;"";1 BD DES FAUVETTES;13012;MARSEILLE 12E ARRONDISSEMENT;Bâtiment;13.0;Particulier
