Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
1012658;0132290923;08/03/2013;06/08/2013;24/03/2023
1013953;0132290924;15/03/2013;06/08/2013;26/05/2023
1020931;0132290925;29/03/2013;05/12/2012;29/07/2022
1027840;0132290926;26/04/2013;29/10/2013;21/10/2022
10384;0132290008;31/12/1975;24/02/1994;18/07/2023
106678;0132290280;29/01/1999;20/11/1998;08/04/2022
107049;0132290223;19/02/1999;11/12/1998;06/01/2023
107053;0132290287;19/02/1999;04/03/1999;24/01/2020
108354;0132290291;16/04/1999;03/01/2000;03/02/2023
108790;0832290165;07/05/1999;24/12/1998;17/08/2020
109427;0132290297;11/06/1999;15/06/2001;29/03/2019
1107642;0132290927;09/08/2013;24/09/2018;28/04/2023
1112091;0132290930;30/08/2013;04/09/2013;15/04/2022
1115790;0132290931;20/09/2013;27/09/2016;21/10/2022
113235;0132290306;12/11/1999;20/07/1999;04/02/2022
1140899;0132290935;08/11/2013;13/03/2019;18/07/2023
1140907;0132290934;08/11/2013;13/11/2013;07/04/2023
1141136;0132290938;08/11/2013;13/11/2013;09/11/2018
1144272;0132290939;08/11/2013;13/11/2013;13/01/2023
1144719;0132290940;15/11/2013;18/09/2013;21/04/2023
1145205;0132290944;15/11/2013;04/10/2013;02/04/2021
1147623;0132290945;22/11/2013;06/12/2018;11/02/2022
1147624;0132290946;22/11/2013;28/05/2013;24/02/2023
1162291;0132290947;20/12/2013;25/10/2013;14/06/2019
1163854;0132290948;20/12/2013;25/03/2014;05/05/2023
1170751;0132290951;07/01/2014;14/01/2014;02/12/2022
1195583;0132290955;07/02/2014;11/02/2014;28/04/2023
1245422;0132290966;04/07/2014;04/07/2014;02/12/2022
1247441;0132290967;11/07/2014;21/01/2016;24/02/2023
1258529;0132290969;29/08/2014;10/10/2016;30/05/2022
1269355;0132290971;17/10/2014;01/12/2016;04/08/2023
1278737;0132290972;21/11/2014;19/12/2014;28/09/2018
1297677;0132290973;16/01/2015;20/02/2017;05/05/2023
1325853;0132290975;24/04/2015;02/10/2015;30/09/2022
1363726;0832290591;16/10/2015;08/09/2015;29/03/2019
1373316;0132290979;27/11/2015;25/05/2016;04/02/2022
1377478;0132290980;04/12/2015;18/01/2017;11/06/2021
1392325;0132290982;22/01/2016;28/12/2015;20/01/2023
1457017;0132290992;26/08/2016;02/03/2016;31/03/2023
1457018;0132290993;26/08/2016;18/06/2012;05/08/2022
1491504;0132290995;16/12/2016;12/06/2017;01/07/2022
1526114;0132290999;10/03/2017;24/04/2017;10/03/2023
1543780;0132291001;28/04/2017;06/06/2017;""
1552428;0132291003;29/05/2017;27/11/2017;19/08/2022
1552431;0132291004;29/05/2017;22/11/2017;11/03/2022
1554210;0132291005;02/06/2017;30/01/2018;05/05/2023
1565956;0132291006;30/06/2017;08/11/2017;13/05/2022
1566481;0132291007;07/07/2017;30/10/2017;18/11/2022
1603920;0132291015;10/11/2017;26/12/2018;04/08/2023
1642708;0132291019;02/03/2018;19/03/2018;03/01/2023
1657055;0132291022;06/04/2018;06/08/2018;07/01/2022
1674346;0132291026;18/05/2018;12/11/2018;03/01/2023
1701956;0132291027;23/07/2018;17/03/2022;20/05/2022
1701958;0132291029;23/07/2018;"";""
1722636;0132291033;07/09/2018;30/10/2018;04/03/2022
1724219;0132291030;07/09/2018;"";""
1737768;0132291037;19/10/2018;02/01/2020;11/03/2022
1769368;0132291040;04/01/2019;13/05/2019;07/04/2023
1788480;0132291042;22/02/2019;27/03/2023;17/09/2021
1805895;0832290650;29/03/2019;09/04/2019;06/01/2023
1808694;0132291044;05/04/2019;"";""
1819072;0132291045;26/04/2019;12/03/2019;""
1819230;0132291046;26/04/2019;"";""
1819614;0132291047;03/05/2019;"";""
1828748;0132291049;24/05/2019;20/02/2019;18/12/2020
1832593;0132291050;07/06/2019;20/02/2019;18/12/2020
1833030;0132291052;14/06/2019;27/06/2019;18/12/2020
1833637;0132291054;21/06/2019;08/01/2019;07/10/2022
1843984;0132291058;12/07/2019;18/06/2019;24/03/2023
1863916;0132291061;30/08/2019;23/09/2019;10/03/2023
1882937;0132291066;25/10/2019;05/11/2019;10/03/2023
1899292;0832290663;06/12/2019;12/10/2020;21/04/2023
1903776;0132291073;20/12/2019;06/11/2019;18/07/2023
192119;0132290012;31/03/2000;17/04/1996;11/02/2022
1922152;0132291074;14/02/2020;17/02/2020;03/01/2023
192587;0132290309;14/04/2000;08/01/2000;07/11/2022
193606;0132290313;19/05/2000;04/10/2000;22/05/2023
194486;0132290315;16/06/2000;06/11/2000;25/11/2022
195130;0132290318;07/07/2000;10/10/1995;23/07/2021
1954146;0132291083;15/05/2020;19/05/2020;13/08/2021
195521;0132290321;21/07/2000;21/12/2001;31/03/2023
195524;0132290324;21/07/2000;01/09/2000;14/04/2023
196691;0132290326;25/08/2000;25/08/2000;09/11/2018
196693;0132290328;25/08/2000;07/09/2000;03/02/2023
197174;0132290330;08/09/2000;14/02/2000;09/12/2022
197179;0132290335;08/09/2000;22/08/2000;07/11/2022
1986967;0132291086;28/08/2020;"";03/01/2023
1995368;0832290680;09/10/2020;19/06/2020;10/06/2022
1997980;0832290681;16/10/2020;26/05/2020;02/09/2022
202875;0132290343;16/02/2001;06/11/2000;07/07/2023
202880;0132290348;16/02/2001;30/07/2001;24/03/2023
202882;0132290350;16/02/2001;26/10/2000;16/08/2023
2031007;0132291087;11/12/2020;12/12/2022;""
2031756;0132291088;18/12/2020;"";24/02/2023
203328;0132290354;02/03/2001;01/06/2003;02/12/2022
203330;0132290356;02/03/2001;08/02/2000;06/01/2023
204084;0132290358;23/03/2001;11/12/2000;24/03/2023
204484;0132290361;06/04/2001;26/04/2001;06/01/2023
204485;0132290362;06/04/2001;28/12/2000;15/03/2019
204526;0832290235;06/04/2001;18/12/2000;25/02/2022
204949;0132290365;20/04/2001;02/01/2001;05/11/2018
205735;0132290369;25/05/2001;16/05/2001;03/01/2023
205738;0132290372;25/05/2001;25/05/2001;02/04/2021
205739;0132290373;25/05/2001;12/12/2000;31/03/2023
205740;0132290374;25/05/2001;13/07/2001;03/02/2023
205741;0132290375;25/05/2001;25/04/2000;03/01/2023
2057458;0832290684;22/01/2021;04/11/2022;""
2084174;0132291095;02/04/2021;15/04/2021;""
208581;0132290381;24/08/2001;24/08/2001;09/07/2021
2089781;0132291098;09/04/2021;03/05/2021;""
209044;0132290382;07/09/2001;21/10/1996;12/08/2022
211091;0132290385;12/10/2001;29/01/2015;17/02/2023
211311;0132290388;19/10/2001;23/07/2004;06/01/2023
2113996;0132291101;04/06/2021;04/06/2021;""
213073;0132290389;16/11/2001;16/11/2001;08/04/2022
2139078;0132291103;06/08/2021;17/02/2022;24/02/2023
214223;0132290392;07/12/2001;28/12/2001;02/12/2022
2156230;0132291104;03/09/2021;25/02/2022;""
216478;0132290398;08/02/2002;22/10/2001;16/08/2023
216480;0132290400;08/02/2002;12/08/2013;03/02/2023
2172257;0132291105;08/10/2021;18/03/2022;""
2200830;0132291109;10/12/2021;27/02/2023;""
2214835;0132291111;03/01/2022;18/10/2021;""
2248998;0132291112;04/03/2022;08/04/2022;28/04/2023
2255118;0132291113;18/03/2022;"";""
2266344;0132291115;25/04/2022;"";""
2368073;0132291125;02/12/2022;07/08/2023;""
2389641;0132291126;13/01/2023;27/12/2022;""
2419915;0132291129;10/03/2023;20/03/2023;21/07/2023
2422074;0132291130;10/03/2023;25/01/2023;""
2422390;0132291131;10/03/2023;04/01/2023;""
2422391;0132291132;10/03/2023;20/03/2023;""
2437532;0132291133;07/04/2023;19/06/2023;""
2470534;0132291136;16/06/2023;28/06/2023;""
25152;0132290004;08/11/1985;30/08/1995;03/03/2023
304760;0132290407;13/09/2002;28/09/2002;03/02/2023
304838;0132290401;13/09/2002;27/09/2002;18/08/2023
304839;0132290402;13/09/2002;21/08/2012;31/03/2023
306340;0832290259;31/10/2002;15/11/2002;10/02/2023
306344;0832290270;31/10/2002;16/12/2006;03/02/2023
306884;0132290447;04/11/2002;14/06/2012;10/06/2022
307950;0132290429;22/11/2002;07/12/2002;16/06/2023
307953;0132290432;22/11/2002;30/08/2012;22/05/2023
308090;0132290433;29/11/2002;14/12/2002;03/01/2023
308094;0132290041;29/11/2002;29/10/1992;03/03/2023
308623;0132290440;06/12/2002;21/12/2002;06/01/2023
308624;0132290441;06/12/2002;21/12/2002;03/02/2023
308631;0132290438;06/12/2002;12/07/2012;25/02/2022
308635;0132290442;06/12/2002;16/08/2012;07/11/2022
311512;0132290037;20/06/2003;23/07/2004;13/05/2022
311518;0132290245;20/06/2003;18/12/1997;14/04/2023
311522;0132290355;20/06/2003;29/10/2004;26/08/2022
311527;0132290444;20/06/2003;23/07/2004;02/12/2022
311528;0132290446;25/02/2003;17/02/2011;02/12/2022
311530;0132290449;04/04/2003;29/06/2012;17/06/2022
315945;0132290454;20/06/2003;17/08/2012;07/11/2022
316537;0132290453;20/06/2003;05/07/2003;30/09/2022
316988;0132290076;27/06/2003;30/08/1995;17/06/2022
316991;0132290116;20/06/2003;19/06/1996;17/02/2023
316997;0132290163;27/06/2003;22/11/1996;10/06/2022
316998;0132290167;20/06/2003;23/07/2004;04/08/2023
317106;0132290180;12/05/2003;23/07/2004;08/07/2022
317112;0132290235;12/05/2003;28/01/1998;07/10/2022
317117;0132290292;20/06/2003;04/11/1998;02/12/2022
320724;0132290412;11/07/2003;18/07/2003;03/02/2023
320884;0132290410;11/07/2003;26/07/2003;24/05/2019
321324;0132290036;25/07/2003;15/05/1994;13/05/2022
321325;0132290096;25/07/2003;06/11/2000;10/06/2022
321330;0132290314;18/07/2003;31/05/2007;03/01/2023
321331;0132290317;25/07/2003;10/07/2000;04/08/2023
321701;0132290035;01/08/2003;22/11/1992;28/10/2022
321781;0132290267;22/08/2003;30/06/1998;04/08/2023
321910;0132290445;12/09/2003;26/09/2003;07/11/2022
322008;0132290419;05/09/2003;20/09/2003;13/09/2019
322443;0132290101;08/08/2003;29/05/1996;12/08/2022
322618;0132290074;22/08/2003;31/07/1995;24/06/2022
322732;0132290098;08/08/2003;20/02/1996;04/08/2023
322802;0132290452;28/08/2003;12/09/2003;15/02/2019
322933;0132290409;22/08/2003;06/09/2003;02/07/2021
323947;0132290377;12/09/2003;26/04/2001;28/05/2021
323948;0132290457;29/08/2003;20/08/2012;04/08/2023
323949;0132290458;29/08/2003;29/06/2012;07/11/2022
324639;0132290364;05/09/2003;20/04/2001;06/08/2021
324872;0132290345;05/09/2003;23/07/2004;04/08/2023
325000;0132290111;12/09/2003;15/06/1998;18/02/2022
326302;0132290461;03/10/2003;20/10/2002;24/03/2023
327576;0132290039;20/10/2003;02/10/1992;02/06/2023
327798;0132290416;20/10/2003;04/11/2003;26/05/2023
328330;0132290463;27/10/2003;16/10/2013;17/02/2023
328331;0132290464;27/10/2003;23/07/2004;17/03/2023
329195;0132290468;03/11/2003;18/11/2003;09/12/2022
329640;0132290472;14/11/2003;23/07/2004;20/08/2021
330351;0132290474;28/11/2003;13/12/2003;04/08/2023
330353;0132290475;21/11/2003;05/12/2003;05/04/2019
330359;0132290476;21/11/2003;06/08/2013;14/10/2022
330528;0132290127;21/11/2003;26/07/1996;10/03/2023
337838;0132290480;20/02/2004;04/05/2012;03/03/2023
337884;0132290481;27/02/2004;13/03/2004;02/06/2023
339970;0132290391;26/03/2004;25/07/2005;06/05/2022
341360;0132290486;23/04/2004;12/07/2012;03/01/2023
341372;0832290294;23/04/2004;15/04/2006;03/02/2023
342725;0132290492;07/05/2004;23/07/2004;06/05/2022
342726;0132290494;07/05/2004;16/10/2013;16/12/2022
342913;0132290351;07/05/2004;11/09/2001;09/12/2022
348144;0132290501;16/07/2004;04/05/2012;07/11/2022
348697;0832290295;23/07/2004;13/08/2005;03/02/2023
351353;0132290506;20/08/2004;12/07/2012;04/08/2023
