Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
167698;6.209203;48.667617;"48°40'3.421""N 6°12'33.131""E";54274;Rue de la République;"";54140;JARVILLE LA MALGRANGE;30/08/2021;En extérieur;R_SO11816_1_2PUB.pdf;Oui;0.97;Rue / Route / Parking;EXEM
167728;6.211092;48.706496;"48°42'23.386""N 6°12'39.931""E";54482;Rue Gambetta;"";54130;SAINT MAX;30/08/2021;En extérieur;R_SO11871_1_2PUB.pdf;Oui;1.77;Rue / Route / Parking;EXEM
167759;6.172145;48.704453;"48°42'16.031""N 6°10'19.722""E";54395;Rue Mollevaut;"";54000;NANCY;30/08/2021;En extérieur;R_SO11816_1_1PUB.pdf;Oui;1.81;Rue / Route / Parking;EXEM
167769;6.199646;48.690548;"48°41'25.973""N 6°11'58.726""E";54395;Boulevard de la Mothe;"";54000;NANCY;23/08/2021;En extérieur;R_SO11977_1_1PUB.pdf;Oui;1.82;Rue / Route / Parking;EXEM
167780;6.175466;48.663497;"48°39'48.589""N 6°10'31.678""E";54547;Rue de Gembloux;"";54500;VANDOEUVRE LES NANCY;23/08/2021;En extérieur;R_SO11977_1_2PUB.pdf;Oui;0.67;Rue / Route / Parking;EXEM
167788;6.184316;48.673577;"48°40'24.877""N 6°11'3.538""E";54547;Avenue Paul Doumer;"";54500;VANDOEUVRE LES NANCY;23/08/2021;En extérieur;R_SO11977_1_3PUB.pdf;Oui;0.99;Rue / Route / Parking;EXEM
167878;6.163931;48.613498;"48°36'48.593""N 6°9'50.152""E";54328;Impasse Paul Langevin;"";54710;LUDRES;03/09/2021;En extérieur;R_SO11623_3_2PUB.pdf;Oui;0.02;"Lieu d'habitation";EXEM
167970;6.174503;48.673892;"48°40'26.011""N 6°10'28.211""E";54395;Avenue du Général Leclerc;"";54000;NANCY;30/08/2021;En extérieur;R_SO11871_1_1PUB.pdf;Oui;1.89;Rue / Route / Parking;EXEM
168393;6.137222;48.657278;"48°39'26.201""N 6°8'13.999""E";54578;Allée DE LONGCHAMP;"";54600;VILLERS LES NANCY;22/09/2021;En intérieur;RPUB_141747.pdf;Oui;0.32;Locaux professionnels non accessibles au public;APAVE Parisienne - Paris 17
168568;6.249762;48.692306;"48°41'32.302""N 6°14'59.143""E";54495;Rue des Jardins Fleuris;"";54420;SAULXURES LES NANCY;24/09/2021;En extérieur;RPUB_141947.pdf;Oui;1.64;Rue / Route / Parking;EXEM
168712;6.165026;48.682202;"48°40'55.927""N 6°9'54.094""E";54395;Rue Aristide Briand;"";54000;NANCY;03/09/2021;En extérieur;RPUB_142116.pdf;Oui;2.19;Rue / Route / Parking;EXEM
168748;6.134358;48.697413;"48°41'50.687""N 6°8'3.689""E";54304;Rue Grand Parc;"";54520;LAXOU;24/09/2021;En extérieur;RPUB_142181.pdf;Oui;0.79;Rue / Route / Parking;EXEM
168772;6.139607;48.687009;"48°41'13.232""N 6°8'22.585""E";54304;Rue de la Forêt;"";54520;LAXOU;03/09/2021;En extérieur;RPUB_142115.pdf;Oui;0.36;Rue / Route / Parking;EXEM
168864;6.137882;48.688436;"48°41'18.370""N 6°8'16.375""E";54304;Rue du Plateau;"";54520;LAXOU;24/09/2021;En extérieur;RPUB_142242.pdf;Oui;8.15;"Lieu d'habitation";EXEM
169249;6.16687;48.700151;"48°42'0.544""N 6°10'0.732""E";54395;Rue Jacquinot;"";54000;NANCY;15/10/2021;En extérieur;RPUB_142605.pdf;Oui;0.95;Rue / Route / Parking;EXEM
169433;6.180748;48.683396;"48°41'0.226""N 6°10'50.693""E";54395;Rue de la République;"";54000;NANCY;22/10/2021;En extérieur;RPUB_142774.pdf;Oui;1.22;Rue / Route / Parking;EXEM
170062;6.215406;48.705514;"48°42'19.850""N 6°12'55.462""E";54184;Rue Louis Bertrand;"";54270;ESSEY LES NANCY;09/11/2021;En extérieur;RPUB_143427.pdf;Oui;0.52;Rue / Route / Parking;EXEM
170067;6.199096;48.704142;"48°42'14.911""N 6°11'56.746""E";54482;Rue Mozart;"";54130;SAINT MAX;09/11/2021;En extérieur;RPUB_143420.pdf;Oui;2.26;Rue / Route / Parking;EXEM
170073;6.137667;48.688552;"48°41'18.787""N 6°8'15.601""E";54304;Rue du Plateau;"";54520;LAXOU;10/11/2021;En extérieur;RPUB_143423.pdf;Oui;2.85;Divers;EXEM
170082;6.231907;48.682723;"48°40'57.803""N 6°13'54.865""E";54526;Allée Salvador Allende;"";54510;TOMBLAINE;09/11/2021;En extérieur;RPUB_143428.pdf;Oui;0.31;Rue / Route / Parking;EXEM
170105;6.17644;48.674786;"48°40'29.230""N 6°10'35.184""E";54395;Rue du Marechal Exelmans;"";54000;NANCY;10/11/2021;En extérieur;RPUB_143459.pdf;Oui;0.83;Rue / Route / Parking;EXEM
170106;6.201624;48.703904;"48°42'14.054""N 6°12'5.846""E";54482;Avenue du Général Leclerc;"";54130;SAINT MAX;15/11/2021;En intérieur;RPUB_143456.pdf;Oui;0.39;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
170165;6.185753;48.691654;"48°41'29.954""N 6°11'8.711""E";54395;Place Monseigneur Ruch;"";54000;NANCY;15/11/2021;En extérieur;RPUB_143536.pdf;Oui;0.43;Rue / Route / Parking;EXEM
170166;6.272563;48.656277;"48°39'22.597""N 6°16'21.227""E";54025;Chemin Rural de la Xieres;"";54510;ART SUR MEURTHE;15/11/2021;En extérieur;RPUB_143535.pdf;Oui;1.66;Rue / Route / Parking;EXEM
170179;6.204915;48.624938;"48°37'29.777""N 6°12'17.694""E";54197;Rue Jean Royer;"";54710;FLEVILLE DEVANT NANCY;15/11/2021;En extérieur;RPUB_143534.pdf;Oui;0.21;Rue / Route / Parking;EXEM
170460;6.209203;48.667617;"48°40'3.421""N 6°12'33.131""E";54274;Rue de la République;"";54140;JARVILLE LA MALGRANGE;10/11/2021;En extérieur;RPUB_143851.pdf;Oui;1.14;Rue / Route / Parking;EXEM
170500;6.172145;48.704453;"48°42'16.031""N 6°10'19.722""E";54395;Rue Mollevaut;"";54000;NANCY;10/11/2021;En extérieur;RPUB_143850.pdf;Oui;1.51;Rue / Route / Parking;EXEM
170544;6.174503;48.673892;"48°40'26.011""N 6°10'28.211""E";54395;Avenue du Général Leclerc;"";54000;NANCY;09/11/2021;En extérieur;RPUB_143918.pdf;Oui;1.65;Rue / Route / Parking;EXEM
170554;6.211092;48.706496;"48°42'23.386""N 6°12'39.931""E";54482;Rue Gambetta;"";54130;SAINT MAX;09/11/2021;En extérieur;RPUB_143919.pdf;Oui;2.26;Rue / Route / Parking;EXEM
170917;6.164618;48.761564;"48°45'41.630""N 6°9'52.625""E";54090;Rue de la Goulotte;"";54136;BOUXIERES AUX DAMES;15/10/2021;En extérieur;RPUB_144246.pdf;Oui;0.94;Rue / Route / Parking;EXEM
170973;6.199646;48.690548;"48°41'25.973""N 6°11'58.726""E";54395;Boulevard de la Mothe;"";54000;NANCY;03/12/2021;En extérieur;RPUB_144370.pdf;Oui;1.98;Rue / Route / Parking;EXEM
171123;6.18432;48.673576;"48°40'24.874""N 6°11'3.552""E";54547;Avenue Paul Doumer;"";54500;VANDOEUVRE LES NANCY;29/11/2021;En extérieur;RPUB_144573.pdf;Oui;1.11;Rue / Route / Parking;EXEM
171214;6.175466;48.663497;"48°39'48.589""N 6°10'31.678""E";54547;Rue de Gembloux;"";54500;VANDOEUVRE LES NANCY;29/11/2021;En extérieur;RPUB_144572.pdf;Oui;0.81;Rue / Route / Parking;EXEM
171788;6.163974;48.613498;"48°36'48.593""N 6°9'50.306""E";54328;Impasse Paul Langevin;"";54710;LUDRES;20/12/2021;En intérieur;RPUB_145082.pdf;Oui;0.2;"Lieu d'habitation";EXEM
171804;6.181655;48.689324;"48°41'21.566""N 6°10'53.958""E";54395;Place Charles III;"";54000;NANCY;17/12/2021;En extérieur;RPUB_145181.pdf;Oui;0.7;Rue / Route / Parking;EXEM
172517;6.161184;48.660221;"48°39'36.796""N 6°9'40.262""E";54547;Avenue du Général Leclerc;"";54500;VANDOEUVRE LES NANCY;04/02/2022;En extérieur;RPUB_145859.pdf;Oui;1.3;Rue / Route / Parking;EXEM
172632;6.148833;48.647167;"48°38'49.801""N 6°8'55.799""E";54547;Rue du Morvan;"";54500;VANDOEUVRE LES NANCY;08/02/2022;En intérieur;RPUB_145953.pdf;Oui;1.37;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";APAVE Parisienne - Paris 17
172651;6.166141;48.700436;"48°42'1.570""N 6°9'58.108""E";54395;Rue de Liège;"";54000;NANCY;10/02/2022;En intérieur;RPUB_145990.pdf;Oui;0.58;"Lieu d'habitation";EXEM
172653;6.226262;48.661252;"48°39'40.507""N 6°13'34.543""E";54300;Avenue du Général de Gaulle;"";54410;LANEUVEVILLE DEVANT NANCY;10/02/2022;En extérieur;RPUB_145989.pdf;Oui;0.52;Rue / Route / Parking;EXEM
