Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
167769;DECT (Téléphone domestique);1880-1900;"";""
167780;DECT (Téléphone domestique);1880-1900;"";""
167788;DECT (Téléphone domestique);1880-1900;"";""
168393;DECT (Téléphone domestique);1880-1900;0.01;""
168568;DECT (Téléphone domestique);1880-1900;"";""
168864;DECT (Téléphone domestique);1880-1900;"";""
170073;DECT (Téléphone domestique);1880-1900;"";""
170106;DECT (Téléphone domestique);1880-1900;0.25;""
170165;DECT (Téléphone domestique);1880-1900;"";""
170166;DECT (Téléphone domestique);1880-1900;"";""
170179;DECT (Téléphone domestique);1880-1900;"";""
170917;DECT (Téléphone domestique);1880-1900;"";""
171804;DECT (Téléphone domestique);1880-1900;"";""
172517;DECT (Téléphone domestique);1880-1900;"";""
172632;DECT (Téléphone domestique);1880-1900;0.01;""
172651;DECT (Téléphone domestique);1880-1900;"";""
172653;DECT (Téléphone domestique);1880-1900;"";""
172656;DECT (Téléphone domestique);1880-1900;"";""
172732;DECT (Téléphone domestique);1880-1900;"";""
172886;DECT (Téléphone domestique);1880-1900;0.62;""
173204;DECT (Téléphone domestique);1880-1900;"";""
173405;DECT (Téléphone domestique);1880-1900;"";""
173428;DECT (Téléphone domestique);1880-1900;"";""
173622;DECT (Téléphone domestique);1880-1900;"";""
173623;DECT (Téléphone domestique);1880-1900;"";""
173774;DECT (Téléphone domestique);1880-1900;"";""
173776;DECT (Téléphone domestique);1880-1900;"";""
174047;DECT (Téléphone domestique);1880-1900;"";""
174051;DECT (Téléphone domestique);1880-1900;"";""
174077;DECT (Téléphone domestique);1880-1900;"";""
174286;DECT (Téléphone domestique);1880-1900;"";""
175081;DECT (Téléphone domestique);1880-1900;"";""
175207;DECT (Téléphone domestique);1880-1900;"";""
176136;DECT (Téléphone domestique);1880-1900;"";""
176289;DECT (Téléphone domestique);1880-1900;"";""
176296;DECT (Téléphone domestique);1880-1900;"";""
176637;DECT (Téléphone domestique);1880-1900;"";""
176645;DECT (Téléphone domestique);1880-1900;"";""
177116;DECT (Téléphone domestique);1880-1900;"";""
177117;DECT (Téléphone domestique);1880-1900;"";""
177130;DECT (Téléphone domestique);1880-1900;"";""
177142;DECT (Téléphone domestique);1880-1900;"";""
177158;DECT (Téléphone domestique);1880-1900;"";""
177464;DECT (Téléphone domestique);1880-1900;"";""
177649;DECT (Téléphone domestique);1880-1900;"";""
177650;DECT (Téléphone domestique);1880-1900;"";""
177664;DECT (Téléphone domestique);1880-1900;"";""
177667;DECT (Téléphone domestique);1880-1900;"";""
177699;DECT (Téléphone domestique);1880-1900;"";""
178160;DECT (Téléphone domestique);1880-1900;"";""
178285;DECT (Téléphone domestique);1880-1900;"";""
178313;DECT (Téléphone domestique);1880-1900;"";""
178360;DECT (Téléphone domestique);1880-1900;"";""
178421;DECT (Téléphone domestique);1880-1900;"";""
179117;DECT (Téléphone domestique);1880-1900;"";""
179301;DECT (Téléphone domestique);1880-1900;"";""
179309;DECT (Téléphone domestique);1880-1900;"";""
179431;DECT (Téléphone domestique);1880-1900;"";""
179435;DECT (Téléphone domestique);1880-1900;"";""
179443;DECT (Téléphone domestique);1880-1900;"";""
180454;DECT (Téléphone domestique);1880-1900;"";""
180797;DECT (Téléphone domestique);1880-1900;"";""
180908;DECT (Téléphone domestique);1880-1900;"";""
180914;DECT (Téléphone domestique);1880-1900;"";""
180915;DECT (Téléphone domestique);1880-1900;"";""
181035;DECT (Téléphone domestique);1880-1900;"";""
181438;DECT (Téléphone domestique);1880-1900;"";""
181518;DECT (Téléphone domestique);1880-1900;"";""
181520;DECT (Téléphone domestique);1880-1900;"";""
182195;DECT (Téléphone domestique);1880-1900;"";""
182212;DECT (Téléphone domestique);1880-1900;"";""
182723;DECT (Téléphone domestique);1880-1900;"";""
182726;DECT (Téléphone domestique);1880-1900;"";""
182750;DECT (Téléphone domestique);1880-1900;"";""
182752;DECT (Téléphone domestique);1880-1900;"";""
182753;DECT (Téléphone domestique);1880-1900;"";""
182762;DECT (Téléphone domestique);1880-1900;"";""
182769;DECT (Téléphone domestique);1880-1900;"";""
182773;DECT (Téléphone domestique);1880-1900;"";""
182825;DECT (Téléphone domestique);1880-1900;"";""
167769;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.11;""
167780;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.05;""
167788;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.07;""
168393;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.02;""
168568;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
168864;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
170073;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
170106;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
170165;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.09;""
170166;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
170179;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
170917;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
171804;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
172517;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.06;""
172632;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.02;""
172651;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.15;""
172653;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
172656;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
172732;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.18;""
172886;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.1;""
173204;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.29;""
173405;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.12;""
173428;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.13;""
173622;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
173623;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
173774;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
173776;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.08;""
174047;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.22;""
174051;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.27;""
174077;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.9;""
174286;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.1;""
175081;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.52;""
175207;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
176136;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.22;""
176289;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
176296;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
176637;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
176645;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.34;""
177116;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177117;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177130;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.07;""
177142;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.11;""
177158;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177464;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177649;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.28;""
177650;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177664;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.12;""
177667;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
177699;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.23;""
178160;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
178285;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.68;""
178313;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.07;""
178360;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
178421;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.14;""
179117;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.06;""
179301;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
179309;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
179431;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
179435;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.06;""
179443;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.2;""
180454;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.31;""
180797;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.14;""
180908;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
180914;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
180915;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
181035;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.17;""
181438;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.23;""
181518;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.09;""
181520;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.16;""
182195;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
182212;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.06;""
182723;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.11;""
182726;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
182750;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.12;""
182752;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.27;""
182753;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
182762;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.15;""
182769;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";"";""
182773;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.23;""
182825;Radiodiffusion sonore (FM – RNT);"87,5-108/174-223";0.08;""
167769;Services HF;"0,1-30";0.08;""
167780;Services HF;"0,1-30";0.09;""
167788;Services HF;"0,1-30";0.08;""
168393;Services HF;"0,1-30";0.0;""
168568;Services HF;"0,1-30";0.09;""
