Numÿro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriÿtaire
98754;6.209444444444444;48.69777777777778;"48ÿ41'52.000""N 6ÿ12'34.000""E";54482;"";R EDGAR QUINET RÿSIDENCE ST PAUL ENTRÿE 1;54130;SAINT MAX;Immeuble;25.8;"Copropriÿtÿ, Syndic, SCI"
439437;6.21;48.65027777777778;"48ÿ39'1.000""N 6ÿ12'36.000""E";54257;"";"14, ALLÿE DES GRANDS PAQUIS SAV BRUNNER ZI EST";54180;HEILLECOURT;Pylÿne autostable;29.0;TOTEM
442782;6.152777777777778;48.63305555555556;"48ÿ37'59.000""N 6ÿ9'10.000""E";54328;LA GRANDE FRAISE;R ÿDOUARD BRANLY;54710;LUDRES;Tour hertzienne;93.0;TDF
445529;6.233333333333333;48.64944444444444;"48ÿ38'58.000""N 6ÿ14'0.000""E";54300;"";13 R DE GÿRARDCOURT;54410;LANEUVEVILLE DEVANT NANCY;Pylÿne autostable;54.0;EDF ou GDF
451513;6.194166666666667;48.687777777777775;"48ÿ41'16.000""N 6ÿ11'39.000""E";54395;"";38 BD LOBAU COMMISSARIAT;54000;NANCY;Bÿtiment;49.0;Intÿrieur
452473;6.139166666666666;48.69305555555555;"48ÿ41'35.000""N 6ÿ8'21.000""E";54395;"";AV DE BOUFFLERS IMM P. DUKAS;54000;NANCY;Immeuble;48.0;"Copropriÿtÿ, Syndic, SCI"
457430;6.256944444444445;48.7;"48ÿ42'0.000""N 6ÿ15'25.000""E";54439;"";"R DU BOIS CH D'EAU";54425;PULNOY;"Chÿteau d'eau - rÿservoir";36.0;"Commune, communautÿ de commune"
459735;6.169444444444444;48.73833333333333;"48ÿ44'18.000""N 6ÿ10'10.000""E";54115;"";2 R GABRIEL BOURG;54250;CHAMPIGNEULLES;Bÿtiment;69.5;Sociÿtÿ Privÿe SA
460256;6.213611111111111;48.687777777777775;"48ÿ41'16.000""N 6ÿ12'49.000""E";54526;"";19 R CAMILLE DESMOULINS;54510;TOMBLAINE;Immeuble;30.0;Sociÿtÿ HLM
462562;6.248888888888889;48.69138888888889;"48ÿ41'29.000""N 6ÿ14'56.000""E";54495;"";13B  ALL DES ROSES R DES JARDINS FLEURIS;54420;SAULXURES LES NANCY;"Chÿteau d'eau - rÿservoir";21.0;"Commune, communautÿ de commune"
472962;6.158333333333333;48.736111111111114;"48ÿ44'10.000""N 6ÿ9'30.000""E";54115;"";R DE BREST IMM JEAN BART;54250;CHAMPIGNEULLES;Immeuble;21.0;Sociÿtÿ HLM
474153;6.211388888888889;48.63722222222222;"48ÿ38'14.000""N 6ÿ12'41.000""E";54197;LE FRAHAUT;"D. 71 - RTE DE FLÿVILLE STATION D'ÿPURATION";54710;FLEVILLE DEVANT NANCY;Pylÿne autostable;26.0;TOTEM
475201;6.154722222222222;48.70194444444444;"48ÿ42'7.000""N 6ÿ9'17.000""E";54395;"";R LAURENT BONNEVAY LE TILLEUL ARGENTÿ;54000;NANCY;Immeuble;51.0;Sociÿtÿ HLM
