Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
100584;0542290110;05/06/1998;30/10/2012;07/10/2022
1012870;0542290380;08/03/2013;29/10/2013;21/07/2023
102358;0542290117;28/08/1998;31/10/1998;24/03/2023
1031501;0542290381;03/05/2013;31/05/2013;26/05/2023
1033501;0540990034;13/05/2013;28/09/2017;27/08/2021
1098153;0540990035;05/07/2013;09/10/2013;09/12/2022
1106998;0542290382;09/08/2013;12/08/2013;16/12/2022
1112097;0542290383;06/09/2013;11/09/2013;24/03/2023
112670;0542290130;22/10/1999;05/04/2013;24/09/2021
1147763;0540990037;22/11/2013;21/03/2014;14/04/2023
114816;0542290131;14/01/2000;30/09/1999;03/03/2023
1170811;0540990042;07/01/2014;17/01/2014;16/12/2022
1189134;0540990045;17/01/2014;02/04/2014;16/12/2022
1229427;0540990049;14/05/2014;04/07/2014;25/11/2022
1261251;0540990056;05/09/2014;09/10/2014;07/04/2023
1261658;0540990057;12/09/2014;25/11/2014;16/12/2022
1262286;0540990059;12/09/2014;17/06/2015;25/11/2022
1269887;0540990064;17/10/2014;04/12/2014;14/04/2023
1303473;0540990072;06/02/2015;30/06/2016;30/09/2022
1350852;0540990076;21/08/2015;17/12/2015;08/04/2022
1373178;0540990081;18/03/2016;23/09/2016;09/12/2022
1385661;0542290388;04/01/2016;27/07/2015;08/01/2021
1405975;0540990085;25/03/2016;12/03/2020;29/07/2022
1406632;0540990166;11/03/2016;30/05/2016;14/04/2023
1409162;0540990079;18/03/2016;24/03/2016;25/11/2022
1411025;0540990167;25/03/2016;04/08/2016;02/12/2022
1417930;0540990168;22/04/2016;18/08/2016;16/12/2022
1427713;0540990173;20/05/2016;15/09/2016;16/12/2022
1427715;0540990175;20/05/2016;26/02/2018;09/06/2023
1431256;0540990176;27/05/2016;19/09/2016;27/08/2021
1452226;0540990185;05/08/2016;26/10/2016;09/12/2022
1458701;0540990187;02/09/2016;09/01/2017;31/03/2023
1469084;0542290392;07/10/2016;31/01/2017;26/05/2023
1471131;0540990190;14/10/2016;31/10/2017;16/12/2022
1472619;0540990191;21/10/2016;29/11/2016;25/11/2022
1482203;0540990194;18/11/2016;09/05/2017;13/11/2020
1506688;0540990203;20/01/2017;26/04/2017;25/11/2022
1525789;0540990207;10/03/2017;07/12/2017;25/11/2022
1536863;0540990209;07/04/2017;02/11/2017;09/12/2022
1539995;0540990213;21/04/2017;29/11/2017;02/12/2022
1562029;0540990311;16/06/2017;04/10/2017;09/12/2022
1574449;0540990312;27/07/2017;16/08/2021;03/01/2023
1577142;0540990316;04/08/2017;26/03/2018;30/09/2022
1650403;0540990332;23/03/2018;03/07/2018;25/11/2022
1669311;0540990335;11/05/2018;14/10/2019;07/11/2022
1692901;0540990341;29/06/2018;22/11/2021;25/02/2022
1695962;0542290396;29/06/2018;12/02/2019;25/04/2022
1697573;0542290397;06/07/2018;20/08/2018;07/11/2022
1730409;0542290409;12/10/2018;10/10/2019;22/10/2021
1763048;0540990363;21/12/2018;20/11/2019;13/01/2023
1782273;0540990367;08/02/2019;07/02/2020;16/12/2022
1803081;0540990371;22/03/2019;15/01/2021;17/02/2023
1858778;0540990386;19/08/2019;07/02/2020;25/11/2022
1860635;0540990387;23/08/2019;29/05/2020;16/12/2022
1903308;0540990409;20/12/2019;27/11/2020;22/07/2022
1918583;0540990413;07/02/2020;08/02/2021;17/02/2023
1920063;0540990418;07/02/2020;26/11/2021;03/01/2023
1943404;0542290443;17/04/2020;20/04/2020;""
195535;0542290136;21/07/2000;29/07/2000;02/12/2022
195537;0542290138;21/07/2000;21/07/2000;21/10/2022
196106;0542290139;04/08/2000;08/03/2013;02/12/2022
196107;0542290140;04/08/2000;04/08/2000;08/04/2022
1972859;0540990424;24/07/2020;04/06/2021;14/04/2023
198092;0542290142;06/10/2000;27/03/2013;08/04/2022
198093;0542290143;06/10/2000;07/01/2000;02/12/2022
198095;0542290145;06/10/2000;20/03/2013;30/05/2022
204096;0542290152;23/03/2001;31/03/2000;22/01/2021
204098;0542290154;23/03/2001;13/03/2013;06/08/2021
204508;0542290158;06/04/2001;06/04/2001;01/07/2022
204509;0542290159;06/04/2001;06/03/2013;29/04/2022
2062299;0540990431;05/02/2021;13/12/2021;03/01/2023
206691;0542290162;06/07/2001;11/06/2002;09/07/2021
2089221;0540990435;09/04/2021;30/09/2022;17/02/2023
2092386;0540990436;16/04/2021;29/10/2021;03/01/2023
2109607;0540990440;28/05/2021;26/09/2022;17/02/2023
211112;0542290166;12/10/2001;12/10/2001;01/04/2022
2133452;0542290463;23/07/2021;"";""
2156087;0540990444;03/09/2021;25/11/2022;17/02/2023
216120;0542290173;01/02/2002;15/04/2013;02/09/2022
2198398;0540990448;03/12/2021;10/06/2022;03/01/2023
2199234;0540990449;03/12/2021;29/07/2022;17/02/2023
2199235;0540990450;03/12/2021;20/10/2022;17/02/2023
2339558;0540990476;30/09/2022;27/03/2023;07/07/2023
2382894;0540990482;03/01/2023;"";03/02/2023
2400872;0540990484;03/02/2023;"";""
2482004;0540990493;21/07/2023;"";""
305730;0542290174;11/10/2002;26/10/2002;06/08/2021
305732;0542290176;11/10/2002;26/10/2002;02/12/2022
305734;0542290179;11/10/2002;26/10/2002;14/10/2022
308183;0542290182;29/11/2002;14/12/2002;27/08/2021
308650;0542290181;06/12/2002;21/12/2002;02/12/2022
322938;0542290186;14/08/2003;29/08/2003;24/03/2023
324570;0542290189;05/09/2003;20/09/2003;17/09/2021
325776;0542290147;19/09/2003;06/08/2013;02/12/2022
326217;0542290190;03/10/2003;18/10/2003;28/10/2022
326567;0542290191;03/10/2003;11/12/2003;22/01/2021
333718;0542290194;05/01/2004;20/01/2004;17/03/2023
354940;0542290199;01/10/2004;15/03/2013;14/11/2022
355787;0542290200;08/10/2004;23/10/2004;02/12/2022
364662;0542290205;21/01/2005;05/02/2005;14/11/2022
367726;0542290212;04/03/2005;19/03/2005;16/07/2021
371065;0542290214;15/04/2005;30/04/2005;29/04/2022
379435;0542290232;05/08/2005;20/08/2005;17/06/2022
379536;0542290233;05/08/2005;20/08/2005;16/07/2021
384884;0542290236;14/10/2005;29/10/2005;26/04/2019
386107;0542290231;27/10/2005;11/11/2005;02/12/2022
387355;0542290237;10/11/2005;23/12/2006;06/08/2021
389070;0542290238;02/12/2005;17/12/2005;15/10/2021
389350;0542290239;09/12/2005;24/12/2005;12/04/2019
395253;0542290211;08/02/2006;26/09/2018;07/11/2022
401266;0542290245;07/04/2006;23/04/2013;02/09/2022
405360;0542290248;19/05/2006;03/06/2006;03/02/2023
414515;0542290250;07/07/2006;22/07/2006;02/12/2022
419528;0542290254;01/09/2006;14/12/2006;05/04/2019
423039;0542290259;20/10/2006;21/12/2007;07/04/2023
424358;0542290260;03/11/2006;16/02/2007;16/09/2022
432712;0542290269;22/12/2006;06/01/2007;08/07/2022
437913;0542290274;16/02/2007;03/03/2007;01/04/2022
437914;0542290275;16/02/2007;12/03/2007;19/08/2019
440571;0542290276;12/03/2007;27/03/2007;17/05/2019
448717;0542290279;13/04/2007;06/08/2018;14/10/2022
450619;0542290281;20/04/2007;25/12/2007;29/03/2019
454566;0542290285;01/06/2007;16/04/2013;28/04/2023
473320;0542290289;13/07/2007;14/01/2014;10/02/2023
473612;0542290290;13/07/2007;12/06/2017;08/07/2022
475354;0542290291;20/07/2007;10/12/2007;03/09/2021
475994;0542290293;27/07/2007;30/01/2018;23/12/2022
478062;0542290295;13/08/2007;21/02/2008;26/05/2023
478063;0542290296;13/08/2007;29/08/2008;25/11/2022
480659;0542290297;31/08/2007;15/05/2014;06/05/2022
486147;0542290299;12/10/2007;03/03/2008;27/08/2021
498618;0542290301;16/11/2007;15/03/2013;07/11/2022
508184;0542290302;18/01/2008;08/03/2013;21/10/2022
517172;0542290311;04/04/2008;12/12/2017;03/02/2023
533823;0542290316;08/08/2008;26/06/2009;07/04/2023
53444;0542290014;03/07/1992;03/07/1992;12/08/2022
53795;0542290016;07/08/1992;07/08/1992;23/07/2021
539679;0542290318;03/10/2008;28/01/2009;26/04/2019
54616;0542290020;06/11/1992;06/11/1992;17/02/2023
548468;0542290319;31/10/2008;22/11/2022;13/08/2021
552715;0542290320;28/11/2008;31/12/2008;10/02/2023
568409;0542290328;27/02/2009;01/10/2009;17/12/2021
59240;0542290002;01/04/1994;01/04/1994;22/01/2021
60877;0542290029;07/10/1994;07/10/1994;24/03/2023
60994;0542290030;07/10/1994;07/10/1994;24/09/2021
610179;0542290333;16/10/2009;07/05/2018;17/12/2021
61340;0542290033;04/11/1994;04/11/1994;14/01/2022
