Numéro de support;Numéro Cartoradio;Numéro de Station;Date de mise en service;Exploitant;"Type d'antenne";"Numéro d'antenne";"Dimension de l'antenne";Directivité;Azimut;Hauteur / sol;Type service;Système;Début;Fin;Unité
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;177476;2.6;Directif;360.0;33.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;177476;2.6;Directif;360.0;33.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;177477;2.6;Directif;140.0;33.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;177477;2.6;Directif;140.0;33.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;5247964;2.7;Directif;250.0;33.0;TEL MOBILE;LTE 800;811.0;821.0;MHz
97204;88579;0452290070;19/02/2019;ORANGE;Panneau;5247964;2.7;Directif;250.0;33.0;TEL MOBILE;LTE 800;852.0;862.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
143185;329042;0452290164;16/07/2018;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
143185;329042;0452290164;28/05/2019;ORANGE;Panneau;5247765;2.7;Directif;270.0;23.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
143185;329042;0452290164;11/08/2021;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
143185;329042;0452290164;11/08/2021;ORANGE;Panneau;279228;2.7;Directif;45.0;23.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
143185;329042;0452290164;11/08/2021;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
143185;329042;0452290164;11/08/2021;ORANGE;Panneau;279230;2.7;Directif;170.0;23.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
