Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
168707;1.894434;47.894075;"47°53'38.670""N 1°53'39.962""E";45234;Avenue du Champ de Mars;"";45000;ORLEANS;29/09/2021;En extérieur;RPUB_142235.pdf;Oui;1.94;Rue / Route / Parking;EXEM
169288;1.926752;47.942658;"47°56'33.569""N 1°55'36.307""E";45147;Rue de Curembourg;"";45400;FLEURY LES AUBRAIS;12/10/2021;En extérieur;RPUB_142669.pdf;Oui;1.65;Rue / Route / Parking;EXEM
169298;1.877166;47.898518;"47°53'54.665""N 1°52'37.798""E";45285;Rue des Charrières;"";45140;SAINT JEAN DE LA RUELLE;12/10/2021;En extérieur;RPUB_142673.pdf;Oui;1.34;Rue / Route / Parking;EXEM
169313;1.971595;47.927328;"47°55'38.381""N 1°58'17.742""E";45284;Rue de la Grand Maison;"";45800;SAINT JEAN DE BRAYE;12/10/2021;En extérieur;RPUB_142672.pdf;Oui;1.2;Rue / Route / Parking;EXEM
169324;1.928846;47.841175;"47°50'28.230""N 1°55'43.846""E";45234;Rue Charles Maurain;"";45100;ORLEANS;12/10/2021;En extérieur;RPUB_142671.pdf;Oui;1.14;Rue / Route / Parking;EXEM
169352;1.903024;47.874791;"47°52'29.248""N 1°54'10.886""E";45232;Rue des Pies;"";45160;OLIVET;12/10/2021;En extérieur;RPUB_142670.pdf;Oui;1.22;Rue / Route / Parking;EXEM
169629;1.923873;47.90685;"47°54'24.660""N 1°55'25.943""E";45234;Rue du Pressoir Neuf;"";45000;ORLEANS;29/09/2021;En extérieur;RPUB_143003.pdf;Oui;3.27;Rue / Route / Parking;EXEM
169795;1.890702;47.899249;"47°53'57.296""N 1°53'26.527""E";45234;Allée du Parc St Laurent;"";45000;ORLEANS;13/10/2021;En intérieur;RPUB_143196.pdf;Oui;0.13;"Lieu d'habitation";EXEM
169803;1.892931;47.901311;"47°54'4.720""N 1°53'34.552""E";45234;station tram Madeleine;"";45000;ORLEANS;29/09/2021;En extérieur;RPUB_143146.pdf;Oui;2.54;Rue / Route / Parking;EXEM
169817;1.897416;47.901837;"47°54'6.613""N 1°53'50.698""E";45234;station tram Croix Morin;"";45000;ORLEANS;29/09/2021;En extérieur;RPUB_143145.pdf;Oui;0.79;Rue / Route / Parking;EXEM
169842;1.890702;47.899249;"47°53'57.296""N 1°53'26.527""E";45234;Allée du Parc St Laurent;"";45000;ORLEANS;13/10/2021;En intérieur;RPUB_143197.pdf;Oui;0.08;"Lieu d'habitation";EXEM
