Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
168707;DECT (Téléphone domestique);1880-1900;"";""
169629;DECT (Téléphone domestique);1880-1900;"";""
169795;DECT (Téléphone domestique);1880-1900;"";""
169803;DECT (Téléphone domestique);1880-1900;"";""
169817;DECT (Téléphone domestique);1880-1900;"";""
170306;DECT (Téléphone domestique);1880-1900;"";""
170387;DECT (Téléphone domestique);1880-1900;"";""
170435;DECT (Téléphone domestique);1880-1900;"";""
170602;DECT (Téléphone domestique);1880-1900;"";""
170607;DECT (Téléphone domestique);1880-1900;"";""
170902;DECT (Téléphone domestique);1880-1900;"";""
171077;DECT (Téléphone domestique);1880-1900;"";""
171222;DECT (Téléphone domestique);1880-1900;"";""
171407;DECT (Téléphone domestique);1880-1900;"";""
173620;DECT (Téléphone domestique);1880-1900;0.01;""
173957;DECT (Téléphone domestique);1880-1900;"";""
174024;DECT (Téléphone domestique);1880-1900;"";""
174042;DECT (Téléphone domestique);1880-1900;"";""
174105;DECT (Téléphone domestique);1880-1900;"";""
174109;DECT (Téléphone domestique);1880-1900;"";""
174117;DECT (Téléphone domestique);1880-1900;"";""
174145;DECT (Téléphone domestique);1880-1900;"";""
174152;DECT (Téléphone domestique);1880-1900;"";""
174154;DECT (Téléphone domestique);1880-1900;"";""
174170;DECT (Téléphone domestique);1880-1900;"";""
174171;DECT (Téléphone domestique);1880-1900;"";""
174183;DECT (Téléphone domestique);1880-1900;"";""
174199;DECT (Téléphone domestique);1880-1900;"";""
174207;DECT (Téléphone domestique);1880-1900;"";""
174212;DECT (Téléphone domestique);1880-1900;"";""
174219;DECT (Téléphone domestique);1880-1900;"";""
174224;DECT (Téléphone domestique);1880-1900;"";""
174280;DECT (Téléphone domestique);1880-1900;"";""
174391;DECT (Téléphone domestique);1880-1900;"";""
174409;DECT (Téléphone domestique);1880-1900;"";""
174808;DECT (Téléphone domestique);1880-1900;"";""
174809;DECT (Téléphone domestique);1880-1900;"";""
174819;DECT (Téléphone domestique);1880-1900;"";""
175112;DECT (Téléphone domestique);1880-1900;"";""
177069;DECT (Téléphone domestique);1880-1900;"";""
177075;DECT (Téléphone domestique);1880-1900;"";""
177080;DECT (Téléphone domestique);1880-1900;"";""
177103;DECT (Téléphone domestique);1880-1900;"";""
177104;DECT (Téléphone domestique);1880-1900;"";""
177105;DECT (Téléphone domestique);1880-1900;"";""
177553;DECT (Téléphone domestique);1880-1900;"";""
177774;DECT (Téléphone domestique);1880-1900;"";""
177779;DECT (Téléphone domestique);1880-1900;"";""
177785;DECT (Téléphone domestique);1880-1900;"";""
177803;DECT (Téléphone domestique);1880-1900;"";""
177804;DECT (Téléphone domestique);1880-1900;"";""
177811;DECT (Téléphone domestique);1880-1900;"";""
177814;DECT (Téléphone domestique);1880-1900;"";""
177822;DECT (Téléphone domestique);1880-1900;"";""
177823;DECT (Téléphone domestique);1880-1900;"";""
177833;DECT (Téléphone domestique);1880-1900;"";""
177845;DECT (Téléphone domestique);1880-1900;"";""
177848;DECT (Téléphone domestique);1880-1900;"";""
177849;DECT (Téléphone domestique);1880-1900;"";""
177868;DECT (Téléphone domestique);1880-1900;"";""
178191;DECT (Téléphone domestique);1880-1900;"";""
178197;DECT (Téléphone domestique);1880-1900;"";""
178199;DECT (Téléphone domestique);1880-1900;"";""
179563;DECT (Téléphone domestique);1880-1900;"";""
179582;DECT (Téléphone domestique);1880-1900;"";""
