Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
97204;2.1997222222222224;47.793055555555554;"47°47'35.000""N 2°11'59.000""E";45324;LE BOURG;"R DU CHÂTEAU D'EAU";45510;TIGY;"Château d'eau - réservoir";42.0;"Commune, communauté de commune"
143185;1.941388888888889;47.945277777777775;"47°56'43.000""N 1°56'29.000""E";45147;"";RTE DE CHANTEAU CHÂTEAU D EAU;45400;FLEURY LES AUBRAIS;"Château d'eau - réservoir";27.0;"Syndicat des eaux, Adduction"
222923;1.8511111111111112;47.9;"47°54'0.000""N 1°51'4.000""E";45169;"";R PIERRE ET MARIE CURIE GARAGE PEUGEOT;45140;INGRE;Pylône autostable;29.0;TOTEM
345865;1.911111111111111;47.899166666666666;"47°53'57.000""N 1°54'40.000""E";45234;"";1 R ST GILLES TOUR PROVENCE;45100;ORLEANS;Bâtiment;14.0;Particulier
363389;1.9052777777777778;47.90416666666667;"47°54'15.000""N 1°54'19.000""E";45234;"";15 R STE ANNE;45100;ORLEANS;Immeuble;15.0;Particulier
428885;1.9341666666666666;47.907222222222224;"47°54'26.000""N 1°56'3.000""E";45234;"";"2, R DU 8 MAI 1945 BÂTIMENT A";45000;ORLEANS;Bâtiment;19.0;"Copropriété, Syndic, SCI"
428887;1.886388888888889;47.903055555555554;"47°54'11.000""N 1°53'11.000""E";45234;"";28 R DU PETIT CHASSEUR;45000;ORLEANS;Bâtiment;14.3;"Copropriété, Syndic, SCI"
434980;1.8422222222222222;47.82833333333333;"47°49'42.000""N 1°50'32.000""E";45204;BOIS DE LA FERME NEUVE;ALLÉE DE LIMÈRE CENTRE DE STOCKAGE DES DÉCHETS;45370;MEZIERES LEZ CLERY;Pylône autostable;40.0;TOTEM
437833;1.7755555555555556;47.98277777777778;"47°58'58.000""N 1°46'32.000""E";45055;"";BASE AÉRIENNE 123 BÂTIMENT PC2;45310;BRICY;Bâtiment;18.0;Autres
439922;2.1225;47.908611111111114;"47°54'31.000""N 2°7'21.000""E";45126;TERRES DE LA QUEUE;LA JUSTICE CHEM RURAL 23;45450;DONNERY;Pylône autostable;39.0;ATC FRANCE
443712;2.1125;47.965;"47°57'54.000""N 2°6'45.000""E";45327;LA PLAINE POTEAU;RTE DE FAY AUX LOGES;45470;TRAINOU;Pylône autostable;203.0;TDF
444444;1.9055555555555554;47.87277777777778;"47°52'22.000""N 1°54'20.000""E";45232;"";294 AV DU LOIRET RES DE LARCHETTE;45160;OLIVET;Immeuble;32.3;"Copropriété, Syndic, SCI"
448196;1.885;47.9075;"47°54'27.000""N 1°53'6.000""E";45234;"";89 R DU FAUBOURG ST JEAN;45000;ORLEANS;"Château d'eau - réservoir";35.0;"Commune, communauté de commune"
450085;1.8005555555555555;47.849444444444444;"47°50'58.000""N 1°48'2.000""E";45196;LES GUILLEMARDIERES;"CHEM D'EXPLOITATION N°10";45370;MAREAU AUX PRES;Pylône autostable;31.0;ATC FRANCE
461941;1.9275;47.943333333333335;"47°56'36.000""N 1°55'39.000""E";45147;LES BICHARDERIES;51 R DE CUREMBOURG TOUR HERTZIENNE;45400;FLEURY LES AUBRAIS;Tour hertzienne;98.0;TDF
470392;1.8630555555555555;47.85944444444444;"47°51'34.000""N 1°51'47.000""E";45232;LA PLAINE;CHEM DES QUINCAILLES;45160;OLIVET;Pylône autostable;43.0;TDF
487699;1.7602777777777778;47.8225;"47°49'21.000""N 1°45'37.000""E";45098;"";"R DU CHÂTEAU D'EAU CHATEAU D'EAU";45370;CLERY SAINT ANDRE;"Château d'eau - réservoir";39.0;"Syndicat des eaux, Adduction"
492240;1.7741666666666667;47.8825;"47°52'57.000""N 1°46'27.000""E";45067;"";"R DU CHATEAU D'EAU - PRES DU STADE";45380;CHAINGY;"Château d'eau - réservoir";36.4;"Syndicat des eaux, Adduction"
493209;2.4425;47.7925;"47°47'33.000""N 2°26'33.000""E";45042;CLIMAT DES TERRES VAINES;D.952 LES COTEAUX;45460;BORDES;Pylône autostable;30.0;TOTEM
503602;2.0644444444444443;47.89111111111111;"47°53'28.000""N 2°3'52.000""E";45194;LA FOLIE;RUE PIERRE ET MARIE CURIE;45430;MARDIE;Pylône autostable;43.0;TOTEM
508875;1.9647222222222223;47.91416666666667;"47°54'51.000""N 1°57'53.000""E";45284;"";2 AV DU GL LECLERC HÔTEL ANTARÈS;45800;SAINT JEAN DE BRAYE;Immeuble;28.0;Société Privée
512327;2.2283333333333335;47.86388888888889;"47°51'50.000""N 2°13'42.000""E";45082;"";"R MARIUS MORIN CH D'EAU";45110;CHATEAUNEUF SUR LOIRE;"Château d'eau - réservoir";41.0;"Syndicat des eaux, Adduction"
515610;1.4472222222222222;47.87722222222222;"47°52'38.000""N 1°26'50.000""E";41006;LE VERGER;LES SOIXANTES MINES RD 42 A;41240;AUTAINVILLE;"Château d'eau - réservoir";46.0;"Syndicat des eaux, Adduction"
538188;2.4074999999999998;47.820277777777775;"47°49'13.000""N 2°24'27.000""E";45042;"";"R DU CH D'EAU";45460;BORDES;"Château d'eau - réservoir";45.0;"Syndicat des eaux, Adduction"
547073;1.7197222222222222;47.78666666666667;"47°47'12.000""N 1°43'11.000""E";45130;"";ZAC DE LA MÉTAIRIE R DU CASTOR;45370;DRY;Pylône autostable;36.0;TOTEM
547448;1.9141666666666666;47.94833333333333;"47°56'54.000""N 1°54'51.000""E";45302;LA FOULONNERIE;IMP DE LA FOULONNERIE PYLÔNE EDF N°10 DE LA LIGNE BELNEUF À SARAN;45770;SARAN;Pylône autostable;41.0;EDF ou GDF
551005;1.8394444444444444;47.93472222222222;"47°56'5.000""N 1°50'22.000""E";45169;"";R DES MUIDS;45140;INGRE;Pylône autostable;73.0;TDF
555461;1.991111111111111;47.92388888888889;"47°55'26.000""N 1°59'28.000""E";45284;"";AV DE VERDUN ZA CHARBONNIÈRE CLOS DES GLANDS;45800;SAINT JEAN DE BRAYE;"Château d'eau - réservoir";53.8;"Commune, communauté de commune"
558902;1.8758333333333332;47.950833333333335;"47°57'3.000""N 1°52'33.000""E";45302;"";R DU BOURG EGLISE;45770;SARAN;Monument religieux;25.0;"Commune, communauté de commune"
562415;1.948888888888889;47.87777777777778;"47°52'40.000""N 1°56'56.000""E";45274;"";"R DU CHÂTEAU D'EAU";45560;SAINT DENIS EN VAL;"Château d'eau - réservoir";60.0;"Syndicat des eaux, Adduction"
567073;1.9119444444444444;47.85944444444444;"47°51'34.000""N 1°54'43.000""E";45232;LE LARRY;538 R DE LA SOURCE AV. DE LA SOLOGNE;45160;OLIVET;"Château d'eau - réservoir";39.0;"Syndicat des eaux, Adduction"
585699;1.850277777777778;47.907222222222224;"47°54'26.000""N 1°51'1.000""E";45169;"";24 R EMILE LECOMTE ZI;45140;INGRE;Pylône autostable;64.0;TOTEM
585927;1.9052777777777778;47.89972222222222;"47°53'59.000""N 1°54'19.000""E";45234;"";6 R ADOLPHE THIERS;45000;ORLEANS;Bâtiment;34.0;Société Privée
603830;1.9241666666666668;47.7925;"47°47'33.000""N 1°55'27.000""E";45006;LE CLOU;CHEM RURAL DU PETIT CABARET À VILLARCEAU;45160;ARDON;Pylône autostable;47.0;ATC FRANCE
623086;1.833611111111111;47.88444444444445;"47°53'4.000""N 1°50'1.000""E";45075;"";R DE MONTELOUP STADE AURÉLIEN HATTON;45380;CHAPELLE SAINT MESMIN;Pylône tubulaire;28.0;TOTEM
623100;2.2025;47.869166666666665;"47°52'9.000""N 2°12'9.000""E";45082;LES NOUES;R DES COMTESSES CROISEMENT VOIE FERRÉE / RN;45110;CHATEAUNEUF SUR LOIRE;Pylône autostable;35.0;TOTEM
632913;1.9277777777777776;47.87972222222222;"47°52'47.000""N 1°55'40.000""E";45286;LE PETIT MOTTEAU;"";45650;SAINT JEAN LE BLANC;Pylône autostable;28.0;TOTEM
648425;1.868611111111111;47.88194444444444;"47°52'55.000""N 1°52'7.000""E";45298;LES SABLONS;RD 951;45750;SAINT PRYVE SAINT MESMIN;Monument religieux;37.0;"Commune, communauté de commune"
