Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
102661;0452290085;11/09/1998;11/09/1998;06/01/2023
102662;0452290086;11/09/1998;11/09/1998;18/12/2020
102663;0452290087;11/09/1998;02/04/2013;02/09/2022
104733;0452290088;06/11/1998;06/11/1998;26/08/2022
104934;0452290089;13/11/1998;17/05/2001;03/02/2023
104935;0452290090;13/11/1998;16/09/1998;18/07/2023
1114837;0452290304;13/09/2013;09/02/2016;13/01/2023
112246;0452290094;08/10/1999;08/10/1999;22/02/2019
112247;0452290095;08/10/1999;18/03/2013;16/12/2022
1153915;0452290308;06/12/2013;19/12/2014;10/03/2023
1170265;0452290310;07/01/2014;14/01/2014;25/04/2022
1270011;0412290232;17/10/2014;19/12/2013;14/10/2022
1278738;0452290312;21/11/2014;19/04/2018;03/02/2023
1406980;0452290314;11/03/2016;02/06/2016;03/02/2023
1415378;0452290315;08/04/2016;17/11/2015;21/10/2022
1415985;0282290214;08/04/2016;10/11/2015;23/12/2020
1456241;0412290236;19/08/2016;22/12/1998;23/12/2020
1475913;0452290317;28/10/2016;03/10/2017;30/05/2022
1478055;0452290318;04/11/2016;27/01/2017;03/05/2019
1478056;0452290319;04/11/2016;23/02/2017;24/02/2023
1568465;0452290321;12/07/2017;11/10/2018;18/02/2022
1580118;0452290323;11/08/2017;17/07/2018;31/03/2023
1636392;0452290326;09/02/2018;04/11/2019;23/12/2022
1667729;0452290327;04/05/2018;22/01/2019;02/12/2022
1697567;0452290329;06/07/2018;12/08/2019;05/05/2023
1699530;0452290331;13/07/2018;06/06/2019;""
1815241;0452290334;19/04/2019;28/04/2022;""
1817841;0452290337;26/04/2019;27/07/2020;""
1850469;0412290256;26/07/2019;23/06/2020;""
1885702;0452290342;31/10/2019;29/11/2020;""
1886051;0452290343;31/10/2019;31/01/2021;""
1888088;0452290346;08/11/2019;28/09/2020;""
1888091;0452290347;08/11/2019;29/11/2020;""
1920244;0452290353;07/02/2020;24/02/2020;28/07/2023
1938071;0452290358;27/03/2020;21/05/2021;""
1938963;0452290362;27/03/2020;25/01/2021;""
201843;0452290105;19/01/2001;12/07/2000;03/02/2023
2038495;0452290368;23/12/2020;23/11/2021;17/02/2023
207189;0452290112;20/07/2001;18/10/2001;10/03/2023
2094540;0452290375;16/04/2021;19/03/2021;18/07/2022
2097081;0412290288;23/04/2021;29/06/2021;14/10/2022
2105515;0452290377;17/05/2021;19/04/2022;""
212156;0452290116;02/11/2001;02/03/2001;10/03/2023
212157;0452290117;02/11/2001;02/11/2001;14/11/2022
213462;0452290123;23/11/2001;17/10/2001;17/03/2023
213463;0452290124;23/11/2001;18/10/2001;10/03/2023
213465;0452290126;23/11/2001;28/02/2001;24/03/2023
213466;0452290127;23/11/2001;18/09/2001;03/02/2023
213468;0452290129;23/11/2001;24/10/2001;06/01/2023
2136208;0452290382;30/07/2021;04/05/2022;""
213965;0452290130;30/11/2001;30/11/2001;17/03/2023
213967;0452290133;30/11/2001;16/10/2001;03/02/2023
213968;0452290134;30/11/2001;30/11/2001;12/05/2023
214740;0452290141;14/12/2001;14/12/2001;23/12/2020
214741;0452290142;14/12/2001;15/03/2013;14/04/2023
214743;0452290144;14/12/2001;05/10/2001;21/07/2023
214745;0452290146;14/12/2001;18/10/2001;03/02/2023
215080;0452290147;21/12/2001;21/12/2001;06/01/2021
216507;0452290150;08/02/2002;08/02/2002;06/03/2020
2177797;0452290388;22/10/2021;13/06/2022;14/04/2023
2236563;0452290399;04/02/2022;24/05/2022;21/04/2023
2258904;0452290403;25/03/2022;18/07/2023;""
2297335;0452290408;01/07/2022;10/10/2022;""
2307747;0452290409;18/07/2022;11/04/2023;""
2340876;0452290415;30/09/2022;15/12/2022;""
2357477;0452290417;14/11/2022;11/08/2022;""
2367631;0452290418;02/12/2022;"";""
2372536;0452290419;09/12/2022;12/12/2022;""
2385711;0452290420;06/01/2023;"";""
2388489;0452290421;06/01/2023;"";""
2405574;0412290306;03/02/2023;15/12/2022;""
2464972;0452290426;02/06/2023;"";""
2469194;0452290427;16/06/2023;31/01/2023;""
305693;0452290153;11/10/2002;26/10/2002;26/02/2016
312936;0452290159;20/03/2003;04/04/2003;17/03/2023
321800;0452290157;01/08/2003;16/08/2003;12/05/2023
324293;0452290160;29/08/2003;13/09/2003;02/12/2022
329042;0452290164;03/11/2003;16/07/2018;10/02/2023
329342;0452290035;07/11/2003;14/11/2003;08/04/2022
330973;0452290167;28/11/2003;13/12/2003;28/07/2023
334298;0452290169;09/01/2004;24/01/2004;02/12/2022
334299;0452290170;09/01/2004;24/01/2004;17/03/2023
337771;0452290168;27/02/2004;21/09/2016;07/07/2023
346083;0452290172;11/06/2004;26/06/2004;10/03/2023
358003;0452290173;29/10/2004;13/11/2004;02/12/2022
358004;0452290175;29/10/2004;02/04/2013;25/03/2022
358006;0452290106;29/10/2004;19/01/2001;02/12/2022
358007;0452290128;29/10/2004;23/11/2001;14/11/2022
358217;0452290174;29/10/2004;13/11/2004;03/02/2023
363833;0452290180;28/01/2005;11/02/2005;18/06/2021
367151;0452290181;11/03/2005;26/03/2005;10/03/2023
372244;0452290182;09/05/2005;24/05/2005;18/07/2023
374642;0452290184;03/06/2005;18/06/2005;07/04/2023
375428;0452290185;17/06/2005;01/07/2005;28/07/2023
376119;0452290186;24/06/2005;09/07/2005;01/09/2023
377741;0452290187;18/07/2005;28/03/2013;03/02/2023
377742;0452290188;18/07/2005;01/08/2005;23/09/2022
386502;0452290193;04/11/2005;19/11/2005;03/02/2023
390408;0452290195;22/12/2005;06/01/2006;25/04/2022
391206;0452290196;03/01/2006;18/01/2006;24/02/2023
392350;0452290200;13/01/2006;28/01/2006;03/02/2023
392493;0452290202;13/01/2006;28/01/2006;29/04/2022
392627;0452290204;13/01/2006;28/01/2006;15/04/2022
393187;0452290207;20/01/2006;04/02/2006;23/12/2020
398509;0452290210;17/03/2006;01/04/2006;20/05/2022
402475;0452290212;21/04/2006;06/05/2006;01/07/2022
403221;0452290213;28/04/2006;13/05/2006;31/03/2023
405989;0452290214;19/05/2006;06/08/2018;17/03/2023
407907;0452290216;29/05/2006;26/04/2018;03/02/2023
426101;0452290224;17/11/2006;17/05/2018;15/04/2022
427061;0452290177;01/12/2006;19/01/2007;22/05/2023
430559;0452290225;08/12/2006;08/02/2007;21/07/2023
434063;0452290226;05/01/2007;14/04/2008;07/01/2014
436218;0452290227;02/02/2007;27/05/2010;13/04/2018
440393;0452290228;02/03/2007;17/03/2007;21/10/2022
441113;0452290230;16/03/2007;26/12/2007;31/03/2023
441114;0452290231;12/03/2007;10/06/2009;03/06/2022
441617;0282290161;16/03/2007;28/06/2017;23/12/2022
441956;0452290232;23/03/2007;19/06/2008;03/06/2022
442400;0452290233;23/03/2007;31/10/2019;23/12/2022
448715;0452290220;13/04/2007;12/06/2013;10/02/2023
450871;0452290234;20/04/2007;13/07/2007;07/07/2023
475534;0452290237;20/07/2007;19/04/2018;21/07/2023
477178;0452290238;03/08/2007;27/02/2008;14/11/2022
480165;0452290240;31/08/2007;03/09/2007;08/01/2021
480166;0452290241;31/08/2007;03/09/2007;31/03/2023
482160;0412290141;07/09/2007;10/09/2007;06/12/2019
495907;0452290247;09/11/2007;18/11/2007;14/11/2022
510152;0412290154;15/02/2008;06/11/2008;06/01/2021
510927;0452290251;15/02/2008;03/04/2013;30/05/2022
515033;0452290252;14/03/2008;26/10/2009;18/11/2022
517452;0452290257;07/04/2008;01/02/2010;02/09/2022
518915;0452290260;24/04/2008;21/10/2008;23/12/2022
54270;0452290008;02/10/1992;02/10/1992;03/03/2023
54332;0452290006;06/11/1992;06/11/1992;05/08/2022
544503;0452290265;10/10/2008;04/11/2009;29/07/2022
567727;0452290270;27/02/2009;13/05/2009;29/07/2022
568163;0452290271;27/02/2009;03/05/2010;11/03/2022
57359;0452290016;03/09/1993;03/09/1993;13/01/2023
575196;0452290249;03/04/2009;03/05/2010;06/01/2023
57775;0452290019;03/12/1993;03/12/1993;08/04/2022
579639;0452290276;17/04/2009;01/06/2010;26/05/2023
602531;0452290280;04/09/2009;28/03/2013;08/09/2023
61347;0452290024;04/11/1994;04/11/1994;30/05/2022
61426;0452290021;04/11/1994;04/11/1994;08/04/2022
61427;0452290022;04/11/1994;04/11/1994;01/07/2022
61764;0452290025;02/12/1994;02/12/1994;21/10/2022
61765;0452290026;02/12/1994;02/12/1994;21/04/2023
64113;0452290027;05/05/1995;02/01/1999;08/04/2022
64219;0452290028;05/05/1995;05/05/1995;06/04/2018
64326;0452290030;05/05/1995;05/05/1995;10/06/2022
64776;0452290032;02/06/1995;02/06/1995;02/09/2022
656658;0452290165;30/04/2010;25/03/2010;02/12/2022
679976;0452290284;27/08/2010;05/07/2010;18/03/2022
680463;0452290286;03/09/2010;17/06/2019;24/02/2023
729106;0452290288;22/04/2011;19/04/2018;13/01/2023
731363;0412290210;29/04/2011;23/01/1998;30/06/2023
753014;0452290289;19/07/2011;02/01/2012;03/05/2019
76028;0452290048;07/02/1997;07/02/1997;24/02/2023
76029;0452290049;07/02/1997;07/02/1997;15/04/2022
762899;0452290291;05/08/2011;05/11/2004;10/03/2023
80672;0452290051;11/07/1997;11/07/1997;02/09/2022
80674;0452290053;11/07/1997;11/07/1997;15/04/2022
808207;0452290293;13/01/2012;15/06/2012;13/01/2023
814033;0452290294;03/02/2012;30/11/2012;13/01/2023
821700;0452290295;02/03/2012;28/03/2013;17/03/2023
83938;0452290062;31/10/1997;31/10/1997;06/01/2021
83943;0452290067;31/10/1997;31/10/1997;26/08/2022
858521;0452290296;29/06/2012;30/06/2012;17/03/2023
878845;0452290250;12/10/2012;02/04/2013;30/09/2022
88579;0452290070;20/03/1998;20/03/1998;06/07/2018
887412;0452290299;16/11/2012;24/07/2013;20/05/2022
917075;0452290301;03/01/2013;13/11/2013;02/06/2023
942001;0452290302;18/01/2013;30/01/2019;28/10/2022
980103;0452290303;15/02/2013;05/12/2013;09/12/2022
