Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
168575;2.43061;48.842215;"48°50'31.974""N 2°25'50.196""E";94080;Allée Nicéphore Niépce;"";94300;VINCENNES;27/09/2021;En intérieur;RPUB_141950.pdf;Oui;3.76;"Lieu d'habitation";EXEM
168583;2.148986;48.817485;"48°49'2.946""N 2°8'56.350""E";78646;Rue Général Pershing;"";78000;VERSAILLES;27/09/2021;En intérieur;RPUB_141959.pdf;Oui;0.15;"Lieu d'habitation";EXEM
168588;2.226115;48.914626;"48°54'52.654""N 2°13'34.014""E";92025;Rue Marguerite Yourcenar;"";92700;COLOMBES;28/09/2021;En extérieur;RPUB_141967.pdf;Oui;1.91;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168590;2.88325;48.960083;"48°57'36.299""N 2°52'59.700""E";77284;Rue GAMBETTA;"";77100;MEAUX;27/09/2021;En intérieur;RPUB_141963.pdf;Oui;0.31;Locaux professionnels non accessibles au public;APAVE Parisienne - Paris 17
168618;2.361091;48.649693;"48°38'58.895""N 2°21'39.928""E";91687;Avenue des Bouleaux;"";91170;VIRY CHATILLON;29/09/2021;En extérieur;RPUB_142001.pdf;Oui;0.99;"Lieu d'habitation";EXEM
168623;2.419467;48.772489;"48°46'20.960""N 2°25'10.081""E";94022;Rue Labbe;"";94600;CHOISY LE ROI;29/09/2021;En intérieur;RPUB_142002.pdf;Oui;0.1;"Lieu d'habitation";EXEM
168663;2.307626;48.778843;"48°46'43.835""N 2°18'27.454""E";92014;Rue Auguste Demmler;"";92340;BOURG LA REINE;30/09/2021;En extérieur;RPUB_142066.pdf;Oui;0.77;"Lieu d'habitation";EXEM
168668;2.062232;48.987664;"48°59'15.590""N 2°3'44.035""E";78015;Rue Pasteur;"";78570;ANDRESY;29/09/2021;En intérieur;RPUB_142061.pdf;Oui;0.13;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168683;2.062257;48.988213;"48°59'17.567""N 2°3'44.125""E";78015;Rue Pasteur;"";78570;ANDRESY;29/09/2021;En intérieur;RPUB_142059.pdf;Oui;0.12;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168687;2.053644;48.989891;"48°59'23.608""N 2°3'13.118""E";78015;Rue de Thymerais;"";78570;ANDRESY;29/09/2021;En intérieur;RPUB_142060.pdf;Oui;0.48;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168731;2.241179;48.801795;"48°48'6.462""N 2°14'28.244""E";92048;Rue Georges Langrognet;"";92190;MEUDON;30/09/2021;En intérieur;RPUB_142246.pdf;Oui;0.14;"Lieu d'habitation";EXEM
168788;1.934614;48.765158;"48°45'54.569""N 1°56'4.610""E";78383;Square du Maine;"";78310;MAUREPAS;27/09/2021;En extérieur;RPUB_142247.pdf;Oui;1.13;Rue / Route / Parking;EXEM
168867;2.363221;48.828643;"48°49'43.115""N 2°21'47.596""E";75113;Avenue Edison;"";75013;PARIS 13E ARRONDISSEMENT;04/10/2021;En intérieur;RPUB_142243.pdf;Oui;2.95;"Lieu d'habitation";EXEM
168872;2.201414;48.898371;"48°53'54.136""N 2°12'5.090""E";92050;"Rue de l'Avenir";"";92000;NANTERRE;28/09/2021;En intérieur;RPUB_142249.pdf;Oui;3.16;"Lieu d'habitation";EXEM
168926;2.464944;48.853495;"48°51'12.582""N 2°27'53.798""E";94033;Rue des Moulins;"";94120;FONTENAY SOUS BOIS;27/09/2021;En intérieur;RPUB_142359.pdf;Oui;3.99;"Lieu d'habitation";EXEM
169048;2.268507;48.808186;"48°48'29.470""N 2°16'6.625""E";92023;Avenue Jean Jaurès;"";92140;CLAMART;30/09/2021;En intérieur;RPUB_142435.pdf;Oui;6.77;"Lieu d'habitation";EXEM
