Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
168575;DECT (Téléphone domestique);1880-1900;"";""
168583;DECT (Téléphone domestique);1880-1900;"";""
168590;DECT (Téléphone domestique);1880-1900;0.02;""
168618;DECT (Téléphone domestique);1880-1900;"";""
168663;DECT (Téléphone domestique);1880-1900;"";""
168668;DECT (Téléphone domestique);1880-1900;"";""
168683;DECT (Téléphone domestique);1880-1900;"";""
168687;DECT (Téléphone domestique);1880-1900;"";""
168788;DECT (Téléphone domestique);1880-1900;"";""
168867;DECT (Téléphone domestique);1880-1900;"";""
168872;DECT (Téléphone domestique);1880-1900;"";""
168926;DECT (Téléphone domestique);1880-1900;"";""
169048;DECT (Téléphone domestique);1880-1900;"";""
169066;DECT (Téléphone domestique);1880-1900;"";""
169093;DECT (Téléphone domestique);1880-1900;"";""
169094;DECT (Téléphone domestique);1880-1900;"";""
169095;DECT (Téléphone domestique);1880-1900;0.01;""
169105;DECT (Téléphone domestique);1880-1900;"";""
169108;DECT (Téléphone domestique);1880-1900;"";""
169111;DECT (Téléphone domestique);1880-1900;"";""
169123;DECT (Téléphone domestique);1880-1900;"";""
169133;DECT (Téléphone domestique);1880-1900;0.05;""
169142;DECT (Téléphone domestique);1880-1900;"";""
169145;DECT (Téléphone domestique);1880-1900;"";""
169150;DECT (Téléphone domestique);1880-1900;"";""
169161;DECT (Téléphone domestique);1880-1900;0.01;""
169162;DECT (Téléphone domestique);1880-1900;0.02;""
169171;DECT (Téléphone domestique);1880-1900;"";""
169177;DECT (Téléphone domestique);1880-1900;"";""
169189;DECT (Téléphone domestique);1880-1900;0.01;""
169222;DECT (Téléphone domestique);1880-1900;"";""
169240;DECT (Téléphone domestique);1880-1900;"";""
169246;DECT (Téléphone domestique);1880-1900;"";""
169253;DECT (Téléphone domestique);1880-1900;"";""
169255;DECT (Téléphone domestique);1880-1900;"";""
169258;DECT (Téléphone domestique);1880-1900;"";""
169259;DECT (Téléphone domestique);1880-1900;"";""
169263;DECT (Téléphone domestique);1880-1900;"";""
169279;DECT (Téléphone domestique);1880-1900;"";""
169300;DECT (Téléphone domestique);1880-1900;0.01;""
169341;DECT (Téléphone domestique);1880-1900;"";""
169413;DECT (Téléphone domestique);1880-1900;"";""
169442;DECT (Téléphone domestique);1880-1900;"";""
169443;DECT (Téléphone domestique);1880-1900;"";""
169453;DECT (Téléphone domestique);1880-1900;"";""
