Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
54947;2.2511111111111113;48.888333333333335;"48°53'18.000""N 2°15'4.000""E";92026;"PASSERELLE DE L'AIGLE";BD  DE NEUILLY;92400;COURBEVOIE;"Ouvrage d'art (pont, viaduc)";8.0;"Etat, Ministère"
54949;2.250277777777778;48.8875;"48°53'15.000""N 2°15'1.000""E";92062;TUNNEL AU PIED DE ATHENA;LA DÉFENSE BD CIRCULAIRE PIERRE GAUDIN;92800;PUTEAUX;"Ouvrage d'art (pont, viaduc)";10.0;"Etat, Ministère"
57935;2.3905555555555553;48.881388888888885;"48°52'53.000""N 2°23'26.000""E";75119;"";23 R MICHEL HIDALGO;75019;PARIS 19E ARRONDISSEMENT;Immeuble;18.4;Particulier
90648;1.7069444444444444;48.603611111111114;"48°36'13.000""N 1°42'25.000""E";28135;LES ROCHES;DÉCHARGE MUNICIPALE CHEM RURAL N° 11;28230;DROUE SUR DROUETTE;Pylône autostable;31.0;TOTEM
103835;2.2688888888888887;48.841388888888886;"48°50'29.000""N 2°16'8.000""E";75116;"";143 AV DE VERSAILLES 2 BAT BLÉRIOT;75116;PARIS 16E ARRONDISSEMENT;Immeuble;36.0;"Etat, Ministère"
103853;2.401111111111111;48.840555555555554;"48°50'26.000""N 2°24'4.000""E";75112;"";18 BD DE PICPUS;75012;PARIS 12E ARRONDISSEMENT;Immeuble;40.0;Société HLM
103929;2.3938888888888887;48.848333333333336;"48°50'54.000""N 2°23'38.000""E";75112;"";278 R DU FAUBOURG ST ANTOINE;75012;PARIS 12E ARRONDISSEMENT;Immeuble;35.0;Société HLM
104151;2.330277777777778;48.85916666666667;"48°51'33.000""N 2°19'49.000""E";75107;"";1 R DE BEAUNE;75007;PARIS 7E ARRONDISSEMENT;Immeuble;24.0;"Copropriété, Syndic, SCI"
104159;2.3725;48.855;"48°51'18.000""N 2°22'21.000""E";75111;"";25/29 R DE LA ROQUETTE;75011;PARIS 11E ARRONDISSEMENT;Immeuble;40.0;"Copropriété, Syndic, SCI"
104582;3.13;48.66416666666667;"48°39'51.000""N 3°7'48.000""E";77239;"";SILOS DE LA C.A.B.E;77970;JOUY LE CHATEL;Immeuble;36.3;"Coopérative Agricole, Vinicole"
104598;2.7719444444444443;48.63916666666667;"48°38'21.000""N 2°46'19.000""E";77534;"";"R DE PARIS CHÂTEAU D'EAU";77390;YEBLES;"Château d'eau - réservoir";37.0;"Commune, communauté de commune"
104610;2.5905555555555555;48.83166666666666;"48°49'54.000""N 2°35'26.000""E";77169;"";32/36 R ALCIDE DE GASPESIE;77184;EMERAINVILLE;Immeuble;16.0;Société HLM
