Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
100593;0752290188;05/06/1998;17/03/2000;18/12/2020
100599;0932290111;05/06/1998;14/04/1998;07/11/2022
1013114;0752291596;08/03/2013;06/08/2013;23/09/2022
1013115;0752291595;08/03/2013;06/08/2013;26/08/2022
1015028;0782290484;15/03/2013;13/01/2015;10/06/2022
1015029;0952290295;15/03/2013;26/09/2012;28/07/2023
101949;0752290190;31/07/1998;22/02/1999;07/11/2022
101951;0782290148;31/07/1998;31/07/1998;14/10/2022
102045;0782290150;07/08/1998;31/07/2001;06/01/2023
102102;0942290088;14/08/1998;16/03/1999;19/11/2021
1022070;0932290421;05/04/2013;11/07/2019;17/02/2023
102209;0752290194;21/08/1998;02/12/1998;30/04/2021
102210;0752290195;21/08/1998;31/03/1999;03/03/2023
102213;0752290198;21/08/1998;26/11/1999;01/07/2022
1022407;0772290512;05/04/2013;11/09/2012;30/09/2022
1022409;0932290422;05/04/2013;31/08/2012;06/05/2022
102671;0752290202;11/09/1998;07/12/1998;17/02/2023
102681;0912290094;11/09/1998;24/05/2000;17/02/2023
102683;0912290096;11/09/1998;22/09/1998;04/08/2023
102684;0912290097;11/09/1998;04/03/1998;21/04/2023
102685;0912290098;11/09/1998;11/09/1998;04/02/2022
102912;0752290206;18/09/1998;15/02/2000;01/07/2022
102913;0752290208;18/09/1998;18/09/1998;01/07/2022
102915;0752290210;18/09/1998;18/09/1998;10/03/2023
102917;0752290212;18/09/1998;01/03/1999;24/06/2022
102919;0772290164;18/09/1998;09/12/1998;07/11/2022
102920;0912290102;18/09/1998;10/03/1998;01/04/2022
102921;0912290103;18/09/1998;09/06/1998;01/07/2022
102922;0912290104;18/09/1998;27/03/1998;19/08/2022
102924;0932290112;18/09/1998;18/09/1998;13/11/2020
103105;0752290214;25/09/1998;26/06/1998;04/12/2020
103111;0932290114;25/09/1998;25/09/1998;28/10/2022
103434;0912290106;02/10/1998;01/07/1999;28/10/2022
104560;0772290167;30/10/1998;12/05/1997;30/05/2022
104565;0782290151;30/10/1998;31/10/1998;08/07/2022
104566;0782290152;30/10/1998;28/09/1998;21/10/2022
104571;0932290113;30/10/1998;21/01/1999;06/08/2021
104572;0932290115;30/10/1998;09/04/1998;23/09/2022
104573;0952290013;30/10/1998;17/07/1998;30/05/2022
104748;0752290217;06/11/1998;22/04/1999;02/04/2021
104750;0752290219;06/11/1998;30/10/1998;02/09/2022
104751;0752290220;06/11/1998;20/01/2000;05/08/2022
104753;0752290223;06/11/1998;06/01/1999;11/12/2020
104757;0752290227;06/11/1998;02/04/1999;24/06/2022
104766;0772290175;06/11/1998;06/01/1998;06/01/2023
104767;0782290153;06/11/1998;30/09/1998;06/01/2023
104769;0782290155;06/11/1998;30/10/1998;14/10/2022
104770;0782290156;06/11/1998;03/03/1999;01/10/2021
104773;0912290107;06/11/1998;06/11/1998;14/10/2022
104774;0922290014;06/11/1998;26/12/1997;06/01/2023
104775;0922290137;06/11/1998;10/08/1999;14/01/2022
104776;0922290138;06/11/1998;18/07/1998;16/09/2022
104778;0942290090;06/11/1998;06/11/1998;02/06/2023
104779;0942290091;06/11/1998;06/03/1998;28/10/2022
104783;0952290099;06/11/1998;30/12/1998;01/07/2022
104784;0952290100;06/11/1998;06/11/1998;01/10/2021
104785;0952290101;06/11/1998;06/11/1998;14/10/2022
104786;0952290102;06/11/1998;21/01/1999;07/11/2022
104964;0752290221;13/11/1998;11/10/2000;30/04/2021
104965;0752290228;13/11/1998;13/04/1999;11/12/2020
