Numéro de support;Numéro Cartoradio;Numéro de Station;Date de mise en service;Exploitant;"Type d'antenne";"Numéro d'antenne";"Dimension de l'antenne";Directivité;Azimut;Hauteur / sol;Type service;Système;Début;Fin;Unité
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120177;2.7;Directif;10.0;22.8;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120177;2.7;Directif;10.0;22.8;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120179;2.7;Directif;110.0;22.8;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120179;2.7;Directif;110.0;22.8;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120181;2.7;Directif;240.0;22.8;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
30517;854069;0352290362;26/08/2019;ORANGE;Panneau;2120181;2.7;Directif;240.0;22.8;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120177;2.7;Directif;10.0;22.8;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120177;2.7;Directif;10.0;22.8;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120179;2.7;Directif;110.0;22.8;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120179;2.7;Directif;110.0;22.8;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120181;2.7;Directif;240.0;22.8;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
30517;854069;0352290362;18/05/2020;ORANGE;Panneau;2120181;2.7;Directif;240.0;22.8;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
30517;854069;0352290362;26/05/2020;ORANGE;Panneau;2120177;2.7;Directif;10.0;22.8;TEL MOBILE;LTE 800;811.0;821.0;MHz
