Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
168711;0.166182;47.955489;"47°57'19.760""N 0°9'58.255""E";72003;Rue de Beausoleil;"";72700;ALLONNES;30/09/2021;En extérieur;RPUB_142141.pdf;Oui;3.13;"Lieu d'habitation";EXEM
168810;0.16355;47.969784;"47°58'11.222""N 0°9'48.780""E";72003;Rue Georges Bizet;"";72700;ALLONNES;30/09/2021;En extérieur;RPUB_142245.pdf;Oui;0.42;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168844;0.161233;47.966939;"47°58'0.980""N 0°9'40.439""E";72003;Rue des Acacias;"";72700;ALLONNES;30/09/2021;En extérieur;RPUB_142244.pdf;Oui;0.11;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
168930;-2.753591;48.170935;"48°10'15.366""N 2°45'12.928""W";22136;Rue Ernest Renan;"";22600;LOUDEAC;01/10/2021;En extérieur;RPUB_142334.pdf;Oui;0.76;Rue / Route / Parking;EXEM
168958;-0.115488;48.241697;"48°14'30.109""N 0°6'55.757""W";72211;2 La Butte Voyère;"";72140;MONT SAINT JEAN;05/10/2021;En extérieur;RPUB_142356.pdf;Oui;0.14;"Lieu d'habitation";EXEM
168992;-2.512468;47.824775;"47°49'29.190""N 2°30'44.885""W";56244;Rue Viviane;"";56460;SERENT;29/09/2021;En intérieur;RPUB_142431.pdf;Oui;0.32;"Lieu d'habitation";EXEM
169006;-0.089833;48.246361;"48°14'46.900""N 0°5'23.399""W";72211;Les Rigaudières;"";72140;MONT SAINT JEAN;05/10/2021;En intérieur;RPUB_142436.pdf;Oui;0.13;"Lieu d'habitation";EXEM
169036;0.162552;47.969019;"47°58'8.468""N 0°9'45.187""E";72003;Rue Jules Massenet;"";72700;ALLONNES;30/09/2021;En extérieur;RPUB_142358.pdf;Oui;0.2;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
169037;-0.079908;48.249076;"48°14'56.674""N 0°4'47.669""W";72211;La Bruyere;"";72140;MONT SAINT JEAN;05/10/2021;En intérieur;RPUB_142437.pdf;Oui;0.16;"Lieu d'habitation";EXEM
169042;-0.085359;48.251898;"48°15'6.833""N 0°5'7.292""W";72211;Les Alleux;"";72140;MONT SAINT JEAN;05/10/2021;En extérieur;RPUB_142434.pdf;Oui;0.32;"Lieu d'habitation";EXEM
169056;-1.733233;48.178092;"48°10'41.131""N 1°43'59.639""W";35059;Rue de Lechlade;"";35520;CHAPELLE DES FOUGERETZ;01/10/2021;En intérieur;RPUB_142425.pdf;Oui;0.35;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
169081;-2.512479;47.824804;"47°49'29.294""N 2°30'44.924""W";56244;Rue Viviane;"";56460;SERENT;29/09/2021;En intérieur;RPUB_142462.pdf;Oui;0.0;"Lieu d'habitation";EXEM
169180;0.195528;48.004861;"48°0'17.500""N 0°11'43.901""E";72181;Rue DU CORNET;"";72000;MANS;04/10/2021;En intérieur;RPUB_142528.pdf;Oui;1.33;Locaux professionnels non accessibles au public;APAVE Parisienne - Paris 17
