Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
168810;DECT (Téléphone domestique);1880-1900;"";""
168844;DECT (Téléphone domestique);1880-1900;"";""
168930;DECT (Téléphone domestique);1880-1900;"";""
168958;DECT (Téléphone domestique);1880-1900;"";""
168992;DECT (Téléphone domestique);1880-1900;"";""
169006;DECT (Téléphone domestique);1880-1900;"";""
169036;DECT (Téléphone domestique);1880-1900;"";""
169037;DECT (Téléphone domestique);1880-1900;"";""
169042;DECT (Téléphone domestique);1880-1900;"";""
169056;DECT (Téléphone domestique);1880-1900;"";""
169180;DECT (Téléphone domestique);1880-1900;0.01;""
169266;DECT (Téléphone domestique);1880-1900;0.01;""
169423;DECT (Téléphone domestique);1880-1900;"";""
169476;DECT (Téléphone domestique);1880-1900;"";""
169592;DECT (Téléphone domestique);1880-1900;"";""
169596;DECT (Téléphone domestique);1880-1900;"";""
169615;DECT (Téléphone domestique);1880-1900;"";""
169696;DECT (Téléphone domestique);1880-1900;"";""
169884;DECT (Téléphone domestique);1880-1900;"";""
169885;DECT (Téléphone domestique);1880-1900;"";""
169889;DECT (Téléphone domestique);1880-1900;"";""
169891;DECT (Téléphone domestique);1880-1900;"";""
169892;DECT (Téléphone domestique);1880-1900;"";""
169896;DECT (Téléphone domestique);1880-1900;"";""
169897;DECT (Téléphone domestique);1880-1900;"";""
169901;DECT (Téléphone domestique);1880-1900;"";""
169905;DECT (Téléphone domestique);1880-1900;"";""
169907;DECT (Téléphone domestique);1880-1900;"";""
169915;DECT (Téléphone domestique);1880-1900;"";""
169918;DECT (Téléphone domestique);1880-1900;"";""
169920;DECT (Téléphone domestique);1880-1900;"";""
169925;DECT (Téléphone domestique);1880-1900;"";""
169930;DECT (Téléphone domestique);1880-1900;"";""
169932;DECT (Téléphone domestique);1880-1900;"";""
169937;DECT (Téléphone domestique);1880-1900;"";""
169940;DECT (Téléphone domestique);1880-1900;"";""
169942;DECT (Téléphone domestique);1880-1900;"";""
169943;DECT (Téléphone domestique);1880-1900;"";""
170050;DECT (Téléphone domestique);1880-1900;"";""
170162;DECT (Téléphone domestique);1880-1900;"";""
170168;DECT (Téléphone domestique);1880-1900;"";""
170170;DECT (Téléphone domestique);1880-1900;"";""
170189;DECT (Téléphone domestique);1880-1900;"";""
170200;DECT (Téléphone domestique);1880-1900;"";""
170237;DECT (Téléphone domestique);1880-1900;"";""
170247;DECT (Téléphone domestique);1880-1900;"";""
170250;DECT (Téléphone domestique);1880-1900;"";""
170272;DECT (Téléphone domestique);1880-1900;"";""
170273;DECT (Téléphone domestique);1880-1900;"";""
170276;DECT (Téléphone domestique);1880-1900;"";""
170281;DECT (Téléphone domestique);1880-1900;"";""
170283;DECT (Téléphone domestique);1880-1900;"";""
170289;DECT (Téléphone domestique);1880-1900;"";""
170290;DECT (Téléphone domestique);1880-1900;"";""
170304;DECT (Téléphone domestique);1880-1900;"";""
170324;DECT (Téléphone domestique);1880-1900;"";""
170325;DECT (Téléphone domestique);1880-1900;"";""
170343;DECT (Téléphone domestique);1880-1900;"";""
170345;DECT (Téléphone domestique);1880-1900;"";""
170411;DECT (Téléphone domestique);1880-1900;"";""
170448;DECT (Téléphone domestique);1880-1900;"";""
170462;DECT (Téléphone domestique);1880-1900;"";""
170471;DECT (Téléphone domestique);1880-1900;"";""
170478;DECT (Téléphone domestique);1880-1900;"";""
170487;DECT (Téléphone domestique);1880-1900;"";""
170490;DECT (Téléphone domestique);1880-1900;"";""
170525;DECT (Téléphone domestique);1880-1900;"";""
170529;DECT (Téléphone domestique);1880-1900;"";""
170589;DECT (Téléphone domestique);1880-1900;"";""
170620;DECT (Téléphone domestique);1880-1900;"";""
170637;DECT (Téléphone domestique);1880-1900;"";""
170640;DECT (Téléphone domestique);1880-1900;"";""
170655;DECT (Téléphone domestique);1880-1900;"";""
170695;DECT (Téléphone domestique);1880-1900;"";""
170702;DECT (Téléphone domestique);1880-1900;"";""
170710;DECT (Téléphone domestique);1880-1900;"";""
170719;DECT (Téléphone domestique);1880-1900;"";""
170724;DECT (Téléphone domestique);1880-1900;"";""
170729;DECT (Téléphone domestique);1880-1900;"";""
170751;DECT (Téléphone domestique);1880-1900;"";""
170770;DECT (Téléphone domestique);1880-1900;"";""
170771;DECT (Téléphone domestique);1880-1900;"";""
170776;DECT (Téléphone domestique);1880-1900;"";""
170806;DECT (Téléphone domestique);1880-1900;"";""
170807;DECT (Téléphone domestique);1880-1900;"";""
170811;DECT (Téléphone domestique);1880-1900;"";""
170820;DECT (Téléphone domestique);1880-1900;"";""
170826;DECT (Téléphone domestique);1880-1900;"";""
170829;DECT (Téléphone domestique);1880-1900;"";""
170839;DECT (Téléphone domestique);1880-1900;"";""
170845;DECT (Téléphone domestique);1880-1900;"";""
170855;DECT (Téléphone domestique);1880-1900;"";""
170869;DECT (Téléphone domestique);1880-1900;"";""
170879;DECT (Téléphone domestique);1880-1900;"";""
170894;DECT (Téléphone domestique);1880-1900;"";""
170900;DECT (Téléphone domestique);1880-1900;"";""
170905;DECT (Téléphone domestique);1880-1900;"";""
170922;DECT (Téléphone domestique);1880-1900;"";""
170927;DECT (Téléphone domestique);1880-1900;"";""
170960;DECT (Téléphone domestique);1880-1900;"";""
170976;DECT (Téléphone domestique);1880-1900;"";""
171060;DECT (Téléphone domestique);1880-1900;"";""
171630;DECT (Téléphone domestique);1880-1900;"";""
171647;DECT (Téléphone domestique);1880-1900;"";""
171675;DECT (Téléphone domestique);1880-1900;"";""
171870;DECT (Téléphone domestique);1880-1900;"";""
171945;DECT (Téléphone domestique);1880-1900;"";""
171960;DECT (Téléphone domestique);1880-1900;"";""
171974;DECT (Téléphone domestique);1880-1900;"";""
172081;DECT (Téléphone domestique);1880-1900;"";""
172249;DECT (Téléphone domestique);1880-1900;"";""
172251;DECT (Téléphone domestique);1880-1900;"";""
172252;DECT (Téléphone domestique);1880-1900;"";""
172254;DECT (Téléphone domestique);1880-1900;"";""
172257;DECT (Téléphone domestique);1880-1900;"";""
172258;DECT (Téléphone domestique);1880-1900;"";""
172322;DECT (Téléphone domestique);1880-1900;"";""
172355;DECT (Téléphone domestique);1880-1900;"";""
172390;DECT (Téléphone domestique);1880-1900;"";""
172540;DECT (Téléphone domestique);1880-1900;"";""
172552;DECT (Téléphone domestique);1880-1900;"";""
172555;DECT (Téléphone domestique);1880-1900;"";""
172805;DECT (Téléphone domestique);1880-1900;"";""
173158;DECT (Téléphone domestique);1880-1900;"";""
173169;DECT (Téléphone domestique);1880-1900;"";""
173201;DECT (Téléphone domestique);1880-1900;"";""
173207;DECT (Téléphone domestique);1880-1900;"";""
173219;DECT (Téléphone domestique);1880-1900;"";""
173228;DECT (Téléphone domestique);1880-1900;"";""
173343;DECT (Téléphone domestique);1880-1900;"";""
173344;DECT (Téléphone domestique);1880-1900;"";""
173345;DECT (Téléphone domestique);1880-1900;"";""
173347;DECT (Téléphone domestique);1880-1900;"";""
173350;DECT (Téléphone domestique);1880-1900;"";""
173355;DECT (Téléphone domestique);1880-1900;"";""
173357;DECT (Téléphone domestique);1880-1900;"";""
173359;DECT (Téléphone domestique);1880-1900;"";""
173366;DECT (Téléphone domestique);1880-1900;"";""
173369;DECT (Téléphone domestique);1880-1900;"";""
173381;DECT (Téléphone domestique);1880-1900;"";""
173399;DECT (Téléphone domestique);1880-1900;"";""
173402;DECT (Téléphone domestique);1880-1900;"";""
173416;DECT (Téléphone domestique);1880-1900;"";""
173423;DECT (Téléphone domestique);1880-1900;"";""
173484;DECT (Téléphone domestique);1880-1900;"";""
173488;DECT (Téléphone domestique);1880-1900;"";""
173519;DECT (Téléphone domestique);1880-1900;"";""
173523;DECT (Téléphone domestique);1880-1900;"";""
173598;DECT (Téléphone domestique);1880-1900;"";""
173606;DECT (Téléphone domestique);1880-1900;"";""
173634;DECT (Téléphone domestique);1880-1900;"";""
173642;DECT (Téléphone domestique);1880-1900;"";""
173651;DECT (Téléphone domestique);1880-1900;"";""
173656;DECT (Téléphone domestique);1880-1900;"";""
173754;DECT (Téléphone domestique);1880-1900;"";""
173778;DECT (Téléphone domestique);1880-1900;"";""
173810;DECT (Téléphone domestique);1880-1900;"";""
173838;DECT (Téléphone domestique);1880-1900;"";""
174114;DECT (Téléphone domestique);1880-1900;"";""
174116;DECT (Téléphone domestique);1880-1900;"";""
174126;DECT (Téléphone domestique);1880-1900;"";""
174410;DECT (Téléphone domestique);1880-1900;"";""
174420;DECT (Téléphone domestique);1880-1900;"";""
174571;DECT (Téléphone domestique);1880-1900;"";""
174606;DECT (Téléphone domestique);1880-1900;"";""
174666;DECT (Téléphone domestique);1880-1900;"";""
174719;DECT (Téléphone domestique);1880-1900;"";""
174738;DECT (Téléphone domestique);1880-1900;"";""
174743;DECT (Téléphone domestique);1880-1900;"";""
174759;DECT (Téléphone domestique);1880-1900;"";""
174945;DECT (Téléphone domestique);1880-1900;"";""
174956;DECT (Téléphone domestique);1880-1900;"";""
174962;DECT (Téléphone domestique);1880-1900;"";""
175148;DECT (Téléphone domestique);1880-1900;"";""
175153;DECT (Téléphone domestique);1880-1900;"";""
175177;DECT (Téléphone domestique);1880-1900;"";""
175180;DECT (Téléphone domestique);1880-1900;"";""
175192;DECT (Téléphone domestique);1880-1900;"";""
175475;DECT (Téléphone domestique);1880-1900;"";""
175480;DECT (Téléphone domestique);1880-1900;"";""
175482;DECT (Téléphone domestique);1880-1900;"";""
175484;DECT (Téléphone domestique);1880-1900;"";""
175669;DECT (Téléphone domestique);1880-1900;"";""
175677;DECT (Téléphone domestique);1880-1900;"";""
176146;DECT (Téléphone domestique);1880-1900;"";""
176150;DECT (Téléphone domestique);1880-1900;"";""
176164;DECT (Téléphone domestique);1880-1900;"";""
176217;DECT (Téléphone domestique);1880-1900;"";""
176245;DECT (Téléphone domestique);1880-1900;"";""
176271;DECT (Téléphone domestique);1880-1900;"";""
176312;DECT (Téléphone domestique);1880-1900;"";""
176377;DECT (Téléphone domestique);1880-1900;"";""
176378;DECT (Téléphone domestique);1880-1900;"";""
176387;DECT (Téléphone domestique);1880-1900;"";""
176391;DECT (Téléphone domestique);1880-1900;"";""
176399;DECT (Téléphone domestique);1880-1900;"";""
176410;DECT (Téléphone domestique);1880-1900;"";""
176412;DECT (Téléphone domestique);1880-1900;"";""
176497;DECT (Téléphone domestique);1880-1900;"";""
176527;DECT (Téléphone domestique);1880-1900;"";""
176529;DECT (Téléphone domestique);1880-1900;"";""
176533;DECT (Téléphone domestique);1880-1900;"";""
176534;DECT (Téléphone domestique);1880-1900;"";""
176544;DECT (Téléphone domestique);1880-1900;"";""
176572;DECT (Téléphone domestique);1880-1900;"";""
176575;DECT (Téléphone domestique);1880-1900;"";""
176577;DECT (Téléphone domestique);1880-1900;"";""
176670;DECT (Téléphone domestique);1880-1900;"";""
176675;DECT (Téléphone domestique);1880-1900;"";""
176689;DECT (Téléphone domestique);1880-1900;"";""
176721;DECT (Téléphone domestique);1880-1900;"";""
176776;DECT (Téléphone domestique);1880-1900;"";""
176779;DECT (Téléphone domestique);1880-1900;"";""
176781;DECT (Téléphone domestique);1880-1900;"";""
176785;DECT (Téléphone domestique);1880-1900;"";""
176828;DECT (Téléphone domestique);1880-1900;"";""
176901;DECT (Téléphone domestique);1880-1900;"";""
177006;DECT (Téléphone domestique);1880-1900;"";""
177300;DECT (Téléphone domestique);1880-1900;"";""
177319;DECT (Téléphone domestique);1880-1900;"";""
177463;DECT (Téléphone domestique);1880-1900;"";""
177466;DECT (Téléphone domestique);1880-1900;"";""
177467;DECT (Téléphone domestique);1880-1900;"";""
177476;DECT (Téléphone domestique);1880-1900;"";""
177695;DECT (Téléphone domestique);1880-1900;"";""
177995;DECT (Téléphone domestique);1880-1900;"";""
178062;DECT (Téléphone domestique);1880-1900;"";""
178211;DECT (Téléphone domestique);1880-1900;"";""
178278;DECT (Téléphone domestique);1880-1900;"";""
178334;DECT (Téléphone domestique);1880-1900;"";""
178349;DECT (Téléphone domestique);1880-1900;"";""
178362;DECT (Téléphone domestique);1880-1900;"";""
178411;DECT (Téléphone domestique);1880-1900;"";""
178580;DECT (Téléphone domestique);1880-1900;"";""
178606;DECT (Téléphone domestique);1880-1900;"";""
178809;DECT (Téléphone domestique);1880-1900;"";""
178943;DECT (Téléphone domestique);1880-1900;"";""
179076;DECT (Téléphone domestique);1880-1900;"";""
179192;DECT (Téléphone domestique);1880-1900;"";""
179195;DECT (Téléphone domestique);1880-1900;"";""
179220;DECT (Téléphone domestique);1880-1900;"";""
179224;DECT (Téléphone domestique);1880-1900;"";""
179227;DECT (Téléphone domestique);1880-1900;"";""
179231;DECT (Téléphone domestique);1880-1900;"";""
179242;DECT (Téléphone domestique);1880-1900;"";""
179243;DECT (Téléphone domestique);1880-1900;"";""
179249;DECT (Téléphone domestique);1880-1900;"";""
179251;DECT (Téléphone domestique);1880-1900;"";""
179252;DECT (Téléphone domestique);1880-1900;"";""
179253;DECT (Téléphone domestique);1880-1900;"";""
179254;DECT (Téléphone domestique);1880-1900;"";""
179255;DECT (Téléphone domestique);1880-1900;"";""
179256;DECT (Téléphone domestique);1880-1900;"";""
179258;DECT (Téléphone domestique);1880-1900;"";""
179263;DECT (Téléphone domestique);1880-1900;"";""
179264;DECT (Téléphone domestique);1880-1900;"";""
179266;DECT (Téléphone domestique);1880-1900;"";""
179267;DECT (Téléphone domestique);1880-1900;"";""
179270;DECT (Téléphone domestique);1880-1900;"";""
179272;DECT (Téléphone domestique);1880-1900;"";""
179275;DECT (Téléphone domestique);1880-1900;"";""
179277;DECT (Téléphone domestique);1880-1900;"";""
179280;DECT (Téléphone domestique);1880-1900;"";""
179284;DECT (Téléphone domestique);1880-1900;"";""
179286;DECT (Téléphone domestique);1880-1900;"";""
179296;DECT (Téléphone domestique);1880-1900;"";""
179300;DECT (Téléphone domestique);1880-1900;"";""
179302;DECT (Téléphone domestique);1880-1900;"";""
179306;DECT (Téléphone domestique);1880-1900;"";""
179307;DECT (Téléphone domestique);1880-1900;"";""
179327;DECT (Téléphone domestique);1880-1900;"";""
179328;DECT (Téléphone domestique);1880-1900;"";""
179336;DECT (Téléphone domestique);1880-1900;"";""
179337;DECT (Téléphone domestique);1880-1900;"";""
