Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
30517;-1.4077777777777778;48.26166666666666;"48°15'42.000""N 1°24'28.000""W";35253;"";"R DES MONTS D'ARRÉES ZI DE CHEDEVILLE";35140;SAINT AUBIN DU CORMIER;Pylône autostable;30.0;HIVORY
53744;-0.9322222222222222;48.08444444444444;"48°5'4.000""N 0°55'56.000""W";53137;LA BOUFFELIÈRE;"";53320;LOIRON RUILLE;Pylône autostable;35.0;TOTEM
53750;-0.6683333333333333;48.11666666666667;"48°7'0.000""N 0°40'6.000""W";53056;LA BROCHARDIÈRE;R DES ACACIAS;53950;CHAPELLE ANTHENAISE;Pylône autostable;30.0;TOTEM
53786;-3.3430555555555554;47.75972222222222;"47°45'35.000""N 3°20'35.000""W";56098;"";RUE ROSA PARKS ALL MARIE LOUISE CHEVREL HLM PASTEUR;56600;LANESTER;Immeuble;21.0;Société HLM
58066;-0.020555555555555556;47.87361111111111;"47°52'25.000""N 0°1'14.000""W";72293;"";LE CHAMP DES LANDES;72430;SAINT JEAN DU BOIS;Pylône autostable;39.0;TOTEM
89718;-2.231388888888889;48.42166666666667;"48°25'18.000""N 2°13'53.000""W";22180;LA VILLE-ES-AINS;PRÈS N.176;22980;PLELAN LE PETIT;Pylône autostable;42.0;TOTEM
89742;-2.1844444444444444;48.28138888888889;"48°16'53.000""N 2°11'4.000""W";22032;LA VILLE ES CHEVET;"";22350;CAULNES;Pylône autostable;36.0;TOTEM
89768;-2.786388888888889;48.26222222222222;"48°15'44.000""N 2°47'11.000""W";22068;LE TOURLANQUIN;"CHÂTEAU D'EAU DE GRACE - UZEL";22460;GRACE UZEL;"Château d'eau - réservoir";30.0;"Commune, communauté de commune"
89778;-3.4125;48.25361111111111;"48°15'13.000""N 3°24'45.000""W";22061;KERMARQUER;VOIE COMMUNALE PRÈS N.164;22110;GLOMEL;Pylône autostable;31.0;TOTEM
89814;-2.283888888888889;48.19555555555556;"48°11'44.000""N 2°17'2.000""W";22371;LA VILLE COLLIAUX;"";22230;TREMOREL;Pylône autostable;36.0;TOTEM
93412;-1.0955555555555556;48.09111111111111;"48°5'28.000""N 1°5'44.000""W";35105;LA HUPERIE;"N.157 - AIRE D'ERBRÉE";35500;ERBREE;Pylône autostable;35.0;TOTEM
93496;-1.1475;48.42333333333333;"48°25'24.000""N 1°8'51.000""W";35142;BEAULIEU;D.177;35133;LANDEAN;Pylône autostable;36.0;TOTEM
93538;-1.6011111111111112;48.121944444444445;"48°7'19.000""N 1°36'4.000""W";35051;"";52 R DE BELLE EPINE;35510;CESSON SEVIGNE;Immeuble;24.0;Société HLM
98460;-0.9080555555555556;47.94305555555555;"47°56'35.000""N 0°54'29.000""W";53077;"";R DE LA FRÉNOUSE;53230;COSSE LE VIVIEN;"Château d'eau - réservoir";31.0;"Commune, communauté de commune"
98492;-0.48166666666666663;48.35611111111111;"48°21'22.000""N 0°28'54.000""W";53144;CHATTÉ;PRÈS D.527;53440;MARCILLE LA VILLE;Pylône autostable;32.0;TOTEM
99008;-3.2066666666666666;48.07083333333333;"48°4'15.000""N 3°12'24.000""W";56113;LE HAUT DE KERIZAC;"CHÂTEAU D'EAU";56160;LOCMALO;"Château d'eau - réservoir";28.0;"Syndicat des eaux, Adduction"
99020;-2.1691666666666665;47.97;"47°58'12.000""N 2°10'9.000""W";56012;"";R GABRIEL DESHAYES;56380;BEIGNON;"Château d'eau - réservoir";32.0;"Syndicat des eaux, Adduction"
99022;-2.62;48.0;"48°0'0.000""N 2°37'12.000""W";56102;LES FORGES;LA CROIX ROUGE;56120;FORGES DE LANOUEE;Pylône autostable;37.0;TOTEM
99028;-3.039722222222222;48.02361111111111;"48°1'25.000""N 3°2'23.000""W";56076;BODEREL;"";56310;GUERN;Pylône autostable;36.0;TOTEM
99080;-3.421666666666667;47.977222222222224;"47°58'38.000""N 3°25'18.000""W";56131;ST-YZAOUEN;D.769 - PARC LANN GRESSE Z.A. DU CLANDY;56320;MESLAN;Pylône autostable;30.0;TOTEM
132154;-0.10777777777777778;48.16833333333334;"48°10'6.000""N 0°6'28.000""W";72315;"";LES ESSARTS;72140;SAINT REMY DE SILLE;Pylône autostable;33.0;TOTEM
132400;-1.6658333333333335;48.09972222222222;"48°5'59.000""N 1°39'57.000""W";35238;"";"45, R DE RIAVAL";35700;RENNES;Immeuble;17.0;"Copropriété, Syndic, SCI"
136181;-0.37277777777777776;47.799166666666665;"47°47'57.000""N 0°22'22.000""W";72236;LA PIECE DU DEVANT;"";72300;PINCE;Pylône autostable;33.0;TOTEM
223039;-1.673888888888889;48.089444444444446;"48°5'22.000""N 1°40'26.000""W";35238;"";121 BD  ALBERT 1ER;35700;RENNES;Immeuble;21.0;ORANGE Services Fixes
287988;0.07777777777777778;48.44694444444445;"48°26'49.000""N 0°4'40.000""E";61143;"";R DU CHEM DU MAURE ADM. : ALLÉE DU STADE STADE DE DAMIGNY;61250;DAMIGNY;Pylône tubulaire;30.0;TOTEM
335658;-3.109722222222222;48.005;"48°0'18.000""N 3°6'35.000""W";56128;KERCLOAREC;"CHEM D'EXPLOITATION N°108";56310;MELRAND;Pylône autostable;30.0;TOTEM
345841;-0.9022222222222223;48.20722222222222;"48°12'26.000""N 0°54'8.000""W";53226;LA ROCHE;"";53380;SAINT HILAIRE DU MAINE;Pylône autostable;31.0;TOTEM
347629;-1.680277777777778;48.109722222222224;"48°6'35.000""N 1°40'49.000""W";35238;"";1 QUAI LAMENNAIS RESTAURANT QUICK;35700;RENNES;Immeuble;24.0;Société Privée
391799;-0.6411111111111112;48.083888888888886;"48°5'2.000""N 0°38'28.000""W";53007;"";"PL DE L' EGLISE";53210;ARGENTRE;Monument religieux;34.0;"Commune, communauté de commune"
395975;-0.5577777777777778;47.84583333333333;"47°50'45.000""N 0°33'28.000""W";53104;LA FUYE;D.606 - CHEM RURAL;53200;GENNES LONGUEFUYE;Pylône autostable;40.0;TOTEM
418263;-2.064722222222222;48.45805555555555;"48°27'29.000""N 2°3'53.000""W";22259;"";"14 BD DE PREVAL DÉPOT VENTE GALERIE DE L'OCCASION";22100;QUEVERT;Pylône autostable;25.0;TOTEM
420223;-2.4944444444444445;48.480555555555554;"48°28'50.000""N 2°29'40.000""W";22093;ZA EST DE LANJOUAN;R DES AVERIES;22400;LAMBALLE ARMOR;Pylône autostable;35.0;"Commune, communauté de commune"
