Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
1001843;0352290377;22/02/2013;11/07/2018;24/02/2023
1002122;0352290378;22/02/2013;14/05/2013;03/02/2023
103092;0352290105;25/09/1998;25/09/1998;20/05/2022
105381;0562290087;11/12/1998;11/12/1998;01/09/2023
106095;0222290006;30/12/1998;06/11/1998;03/01/2023
106096;0222290077;30/12/1998;30/12/1998;23/12/2022
106113;0352290108;30/12/1998;30/12/1998;21/04/2023
108769;0532290034;07/05/1999;15/06/1999;19/06/2020
109433;0222290083;11/06/1999;11/06/1999;23/12/2022
109448;0562290095;11/06/1999;11/06/1999;06/12/2019
1108301;0352290379;09/08/2013;08/08/2013;03/02/2023
1108303;0722290240;19/08/2013;31/07/2014;07/10/2022
112463;0562290099;15/10/1999;15/10/1999;17/02/2023
112652;0222290084;22/10/1999;22/10/1999;16/10/2020
112656;0352290110;22/10/1999;22/10/1999;07/08/2020
112659;0352290114;22/10/1999;11/10/1999;17/02/2023
1136025;0352290382;25/10/2013;03/02/2014;12/06/2020
113806;0352290115;03/12/1999;03/12/1999;17/06/2022
113807;0352290116;03/12/1999;31/12/1999;03/02/2023
1140392;0352290384;31/10/2013;24/04/2014;05/08/2022
1144217;0352290385;08/11/2013;13/11/2013;24/03/2023
1153918;0352290386;06/12/2013;23/07/2015;25/08/2023
1170096;0352290387;07/01/2014;14/01/2014;05/05/2023
1170255;0352290388;07/01/2014;14/01/2014;10/01/2020
1247165;0352290392;11/07/2014;05/01/2015;16/12/2022
1262205;0352290394;12/09/2014;25/06/2015;23/06/2023
1280079;0352290395;28/11/2014;17/09/2015;17/02/2023
1325020;0352290398;24/04/2015;19/11/2015;18/11/2022
1368248;0292290377;06/11/2015;09/07/2015;25/11/2022
1393012;0352290400;22/01/2016;12/07/2016;03/02/2023
1396194;0352290401;05/02/2016;17/12/2015;31/03/2023
1396195;0352290402;05/02/2016;24/12/2015;09/06/2023
1411796;0722290254;25/03/2016;10/04/2017;22/03/2019
1413329;0722290255;31/03/2016;10/04/2017;26/04/2019
1415376;0222290257;08/04/2016;21/01/2016;14/10/2022
1428655;0722290256;20/05/2016;10/04/2017;11/12/2020
1428656;0722290257;20/05/2016;10/04/2017;13/11/2020
1428657;0722290258;20/05/2016;10/04/2017;31/08/2018
1432730;0722290259;03/06/2016;10/04/2017;09/04/2021
1435180;0722290260;10/06/2016;10/04/2017;24/08/2018
1435183;0722290261;10/06/2016;10/04/2017;31/08/2018
1442280;0532290118;01/07/2016;10/04/2017;26/04/2019
1442281;0532290119;01/07/2016;10/04/2017;27/07/2018
1442282;0532290120;01/07/2016;10/04/2017;15/01/2021
1442283;0532290121;01/07/2016;10/04/2017;25/09/2020
1442285;0722290263;01/07/2016;10/04/2017;24/08/2018
1449711;0722290266;29/07/2016;10/04/2017;""
1451401;0722290268;05/08/2016;10/04/2017;25/09/2020
1451402;0722290269;05/08/2016;10/04/2017;20/11/2020
1451404;0722290267;05/08/2016;10/04/2017;18/09/2020
1451899;0532290122;05/08/2016;10/04/2017;26/04/2019
1457020;0352290403;26/08/2016;16/12/2016;22/06/2018
1459085;0532290123;02/09/2016;10/04/2017;18/09/2020
1459086;0532290124;02/09/2016;10/04/2017;25/09/2020
1459087;0532290125;02/09/2016;10/04/2017;13/11/2020
1459088;0532290126;02/09/2016;10/04/2017;03/08/2018
1461173;0722290272;09/09/2016;10/04/2017;25/09/2020
1461993;0722290274;09/09/2016;10/04/2017;22/01/2021
1463771;0532290127;16/09/2016;10/04/2017;11/09/2020
1463772;0532290128;16/09/2016;10/04/2017;21/08/2020
1463773;0532290129;16/09/2016;10/04/2017;24/08/2018
1464085;0352290404;16/09/2016;10/04/2017;18/12/2020
1464086;0352290405;16/09/2016;10/04/2017;08/09/2023
1464087;0352290406;16/09/2016;10/04/2017;01/09/2023
1464477;0352290407;16/09/2016;10/04/2017;25/08/2023
1464911;0352290409;23/09/2016;10/04/2017;04/08/2023
1465248;0352290410;23/09/2016;10/04/2017;25/09/2020
1468065;0352290412;30/09/2016;17/01/2017;13/01/2023
1469128;0532290131;07/10/2016;29/09/2016;24/07/2020
1471497;0532290133;14/10/2016;10/04/2017;05/08/2022
1472116;0722290275;21/10/2016;10/04/2017;11/12/2020
1493722;0722290276;23/12/2016;10/04/2017;31/08/2018
1508194;0352290414;03/02/2017;27/07/2017;23/12/2022
1509744;0352290415;03/02/2017;10/04/2017;11/12/2020
1520282;0352290416;24/02/2017;19/09/2017;29/07/2022
1520785;0352290417;03/03/2017;27/07/2017;16/06/2023
1527939;0532290134;17/03/2017;10/04/2017;11/12/2020
1528603;0722290279;17/03/2017;10/04/2017;09/10/2020
1528609;0352290422;17/03/2017;10/04/2017;25/08/2023
1528701;0352290418;17/03/2017;10/04/2017;25/08/2023
1528702;0352290419;17/03/2017;10/04/2017;26/05/2023
1528703;0352290420;17/03/2017;10/04/2017;12/04/2019
1528704;0352290421;17/03/2017;10/04/2017;22/01/2021
1549294;0222290263;12/05/2017;18/10/2017;12/05/2023
1552843;0222290264;29/05/2017;10/01/2018;23/09/2022
1557159;0562290313;09/06/2017;05/10/2017;25/11/2022
1558498;0562290314;09/06/2017;14/12/2017;31/07/2020
1588936;0352290424;08/09/2017;19/09/2017;21/04/2023
1596455;0352290426;13/10/2017;26/04/2018;21/04/2023
1597074;0352290427;20/10/2017;08/11/2017;""
1597822;0352290428;20/10/2017;23/03/2018;13/01/2023
1598282;0532290135;20/10/2017;21/08/2019;""
1624688;0222290267;05/01/2018;31/05/2018;""
1636411;0722290282;16/02/2018;11/12/2018;""
1642092;0722290283;23/02/2018;28/05/2019;20/03/2020
1642093;0722290284;23/02/2018;31/08/2019;20/03/2020
1668799;0222290268;04/05/2018;12/02/2019;23/12/2022
1671272;0352290429;11/05/2018;16/07/2018;08/01/2021
1674336;0532290137;25/05/2018;04/06/2018;26/08/2022
1674337;0532290138;18/05/2018;06/05/2018;09/09/2022
1677871;0562290319;25/05/2018;30/11/2018;18/11/2022
1693130;0222290269;29/06/2018;28/09/2020;""
1694210;0562290321;29/06/2018;12/02/2019;06/01/2021
1694213;0352290431;29/06/2018;08/01/2019;""
1694218;0722290288;29/06/2018;12/02/2019;11/12/2020
1694681;0722290290;29/06/2018;30/01/2019;13/01/2023
1696341;0352290433;06/07/2018;25/10/2018;26/11/2021
1696342;0722290291;06/07/2018;03/12/2019;""
1697017;0722290292;06/07/2018;12/02/2019;""
1697593;0722290293;06/07/2018;23/09/2019;""
1697596;0532290139;06/07/2018;19/02/2019;""
1697597;0532290140;06/07/2018;28/05/2019;06/01/2021
1697598;0722290294;06/07/2018;25/02/2019;""
1697840;0562290323;06/07/2018;12/03/2019;""
1697841;0612290144;06/07/2018;20/08/2019;29/04/2022
1697844;0722290295;06/07/2018;12/02/2019;""
1698993;0352290435;06/07/2018;29/10/2018;""
1699512;0352290436;13/07/2018;12/02/2019;24/02/2023
1700050;0352290437;13/07/2018;23/09/2019;""
1700710;0532290141;13/07/2018;31/05/2021;16/09/2022
1700712;0722290296;13/07/2018;14/04/2021;""
1700714;0292290402;13/07/2018;14/10/2019;""
1702420;0532290142;23/07/2018;15/12/2020;10/03/2023
1704434;0532290143;27/07/2018;14/01/2019;26/08/2022
1704455;0352290438;23/07/2018;29/03/2019;25/02/2022
1704456;0352290439;23/07/2018;28/06/2019;17/03/2023
1709436;0352290440;03/08/2018;26/12/2018;17/03/2023
1709945;0352290441;03/08/2018;23/09/2019;18/02/2022
1712315;0222290276;10/08/2018;28/08/2019;""
1713413;0352290442;17/08/2018;01/10/2018;03/03/2023
1715274;0352290443;17/08/2018;01/10/2018;03/03/2023
1715275;0352290444;17/08/2018;01/10/2018;""
1715276;0352290445;17/08/2018;01/10/2018;03/03/2023
1715716;0352290446;17/08/2018;01/10/2018;03/03/2023
1715717;0352290447;17/08/2018;01/10/2018;03/03/2023
1715718;0352290448;17/08/2018;01/10/2018;24/02/2023
1715719;0352290449;17/08/2018;01/10/2018;24/02/2023
1715720;0352290450;17/08/2018;01/10/2018;""
1715721;0352290451;17/08/2018;01/10/2018;03/03/2023
1715722;0352290452;17/08/2018;01/10/2018;""
1715723;0352290453;17/08/2018;01/10/2018;""
1715724;0352290454;17/08/2018;01/10/2018;""
1715725;0352290455;17/08/2018;01/10/2018;""
1715726;0352290456;17/08/2018;01/10/2018;""
1716911;0222290278;17/08/2018;03/08/2021;""
1718731;0532290144;24/08/2018;23/09/2019;""
1720051;0292290411;31/08/2018;24/01/2019;""
1720054;0532290145;31/08/2018;31/07/2019;03/06/2022
1722591;0352290457;07/09/2018;23/09/2019;""
1722592;0352290458;07/09/2018;23/09/2019;""
1723182;0532290146;07/09/2018;26/12/2018;02/09/2022
1727708;0722290300;21/09/2018;08/10/2018;02/09/2022
1727712;0532290147;21/09/2018;26/12/2018;02/09/2022
1727713;0532290148;21/09/2018;26/12/2018;28/10/2022
1727714;0532290149;21/09/2018;22/10/2018;26/08/2022
1744755;0352290461;09/11/2018;31/10/2019;""
1744757;0222290281;09/11/2018;19/06/2020;23/12/2022
1744761;0352290462;09/11/2018;24/02/2021;""
1745789;0222290284;09/11/2018;20/08/2019;""
1747469;0352290463;16/11/2018;23/10/2019;""
1747471;0562290326;16/11/2018;31/10/2019;""
1747476;0352290464;16/11/2018;23/09/2019;""
1748015;0352290465;16/11/2018;23/03/2021;""
1753346;0222290285;30/11/2018;17/03/2021;""
1753354;0352290466;30/11/2018;20/02/2020;""
1754889;0532290150;30/11/2018;13/12/2018;02/09/2022
1754890;0532290151;30/11/2018;14/01/2019;14/11/2022
1755314;0352290469;07/12/2018;22/09/2020;20/05/2022
1756517;0352290470;07/12/2018;09/02/2021;""
1765410;0352290472;02/01/2019;12/06/2020;16/12/2022
1766551;0352290473;02/01/2019;17/01/2020;""
1766552;0352290474;02/01/2019;04/05/2021;""
1781923;0562290330;08/02/2019;07/02/2020;11/12/2020
1781928;0352290475;01/02/2019;28/04/2021;""
1786683;0532290152;15/02/2019;17/09/2020;""
