Numéro de support;Numéro Cartoradio;Numéro de Station;Date de mise en service;Exploitant;"Type d'antenne";"Numéro d'antenne";"Dimension de l'antenne";Directivité;Azimut;Hauteur / sol;Type service;Système;Début;Fin;Unité
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 800;811.0;821.0;MHz
53555;305617;0382290238;30/11/2015;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 800;852.0;862.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
53555;305617;0382290238;13/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
53555;305617;0382290238;27/03/2019;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;73204;2.5;Directif;40.0;29.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;73208;2.5;Directif;120.0;29.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 700;708.0;718.0;MHz
53555;305617;0382290238;16/03/2021;ORANGE;Panneau;3940291;2.5;Directif;270.0;29.3;TEL MOBILE;LTE 700;763.0;773.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 2600;2515.0;2535.0;MHz
57729;307753;0422290169;21/10/2014;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 2600;2635.0;2655.0;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 2100;1964.9;1979.7;MHz
57729;307753;0422290169;16/07/2019;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 2100;2154.9;2169.7;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 1800;1710.0;1730.0;MHz
57729;307753;0422290169;23/09/2019;ORANGE;Panneau;85259;2.0;Directif;270.0;13.6;TEL MOBILE;LTE 1800;1805.0;1825.0;MHz
57729;307753;0422290169;21/10/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 800;811.0;821.0;MHz
57729;307753;0422290169;21/10/2019;ORANGE;Panneau;85255;2.0;Directif;30.0;13.6;TEL MOBILE;LTE 800;852.0;862.0;MHz
57729;307753;0422290169;21/10/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 800;811.0;821.0;MHz
57729;307753;0422290169;21/10/2019;ORANGE;Panneau;85257;2.0;Directif;150.0;13.6;TEL MOBILE;LTE 800;852.0;862.0;MHz
