Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
174472;4.807038;45.384389;"45°23'3.800""N 4°48'25.337""E";38344;Chemin des Crozes;"";38150;ROUSSILLON;29/04/2022;En extérieur;RPUB_147680.pdf;Oui;1.52;Rue / Route / Parking;EXEM
170100;4.071593;45.592675;"45°35'33.630""N 4°4'17.735""E";42147;Avenue Thermale;"";42600;MONTBRISON;03/11/2021;En extérieur;RPUB_143452.pdf;Oui;0.7;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
182950;4.620566;45.533943;"45°32'2.195""N 4°37'14.038""E";42186;Chemin de Combelibert;"";42800;RIVE DE GIER;15/06/2023;En extérieur;RPUB_155937.pdf;Oui;1.43;Rue / Route / Parking;EXEM
177343;4.774599;45.483776;"45°29'1.594""N 4°46'28.556""E";69253;Lotissement les Olivières;"";69420;TUPIN ET SEMONS;30/08/2022;En extérieur;RPUB_150502.pdf;Oui;1.02;Rue / Route / Parking;EXEM
169921;4.342711;45.463282;"45°27'47.815""N 4°20'33.760""E";42330;Rue de Bourgeat;"";42390;VILLARS;04/11/2021;En extérieur;RPUB_143273.pdf;Oui;0.63;Rue / Route / Parking;EXEM
175751;3.946554;45.657229;"45°39'26.024""N 3°56'47.594""E";42205;La Garde;"";42940;SAINT BONNET LE COURREAU;08/06/2022;En extérieur;RPUB_148966.pdf;Oui;0.59;Rue / Route / Parking;EXEM
182673;4.359472;45.447395;"45°26'50.622""N 4°21'34.099""E";42218;Rue Charles Longuet;"";42000;SAINT ETIENNE;31/05/2023;En extérieur;RPUB_155718.pdf;Oui;1.72;Rue / Route / Parking;EXEM
169731;4.632862;45.532913;"45°31'58.487""N 4°37'58.303""E";42053;Route des Etaings;"";42800;CHATEAUNEUF;07/10/2021;En extérieur;RPUB_143031.pdf;Oui;0.48;Rue / Route / Parking;EXEM
178047;4.501305;45.540654;"45°32'26.354""N 4°30'4.698""E";42320;Chemin de Mazenod;"";42320;VALFLEURY;23/09/2022;En intérieur;RPUB_151201.pdf;Oui;0.17;"Lieu d'habitation";EXEM
169881;4.051037;45.609399;"45°36'33.836""N 4°3'3.733""E";42147;Rue de la Blanchisserie;"";42600;MONTBRISON;02/11/2021;En extérieur;RPUB_143255.pdf;Oui;0.32;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
175118;4.370048;45.463953;"45°27'50.231""N 4°22'12.173""E";42218;Chemin des Champs;"";42000;SAINT ETIENNE;23/05/2022;En extérieur;RPUB_148339.pdf;Oui;0.23;Rue / Route / Parking;EXEM
182576;4.889447;45.527558;"45°31'39.209""N 4°53'22.009""E";38544;Chemin des Adouses;"";38200;VIENNE;05/06/2023;En extérieur;RPUB_155667.pdf;Oui;4.24;Rue / Route / Parking;EXEM
177341;4.807038;45.384389;"45°23'3.800""N 4°48'25.337""E";38344;Chemin des Crozes;"";38150;ROUSSILLON;30/08/2022;En extérieur;RPUB_150516.pdf;Oui;1.45;Rue / Route / Parking;EXEM
183934;4.308119;45.505755;"45°30'20.718""N 4°18'29.228""E";42097;Allée Des Pervenches;"";42480;FOUILLOUSE;18/08/2023;En intérieur;RPUB_156999.pdf;Oui;0.19;"Lieu d'habitation";EXEM
170097;4.072988;45.6072;"45°36'25.920""N 4°4'22.757""E";42147;Rue Brillié;"";42600;MONTBRISON;03/11/2021;En extérieur;RPUB_143451.pdf;Oui;0.75;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
