Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
169680;DECT (Téléphone domestique);1880-1900;"";""
169717;DECT (Téléphone domestique);1880-1900;"";""
169787;DECT (Téléphone domestique);1880-1900;"";""
169829;DECT (Téléphone domestique);1880-1900;"";""
169844;DECT (Téléphone domestique);1880-1900;"";""
169870;DECT (Téléphone domestique);1880-1900;"";""
169881;DECT (Téléphone domestique);1880-1900;"";""
169882;DECT (Téléphone domestique);1880-1900;"";""
169895;DECT (Téléphone domestique);1880-1900;"";""
169928;DECT (Téléphone domestique);1880-1900;"";""
169938;DECT (Téléphone domestique);1880-1900;"";""
169948;DECT (Téléphone domestique);1880-1900;"";""
170043;DECT (Téléphone domestique);1880-1900;"";""
170096;DECT (Téléphone domestique);1880-1900;"";""
170097;DECT (Téléphone domestique);1880-1900;"";""
170098;DECT (Téléphone domestique);1880-1900;"";""
170100;DECT (Téléphone domestique);1880-1900;"";""
170255;DECT (Téléphone domestique);1880-1900;"";""
170356;DECT (Téléphone domestique);1880-1900;"";""
170611;DECT (Téléphone domestique);1880-1900;"";""
170692;DECT (Téléphone domestique);1880-1900;"";""
170757;DECT (Téléphone domestique);1880-1900;"";""
170854;DECT (Téléphone domestique);1880-1900;0.06;""
170962;DECT (Téléphone domestique);1880-1900;"";""
171009;DECT (Téléphone domestique);1880-1900;"";""
171081;DECT (Téléphone domestique);1880-1900;"";""
171099;DECT (Téléphone domestique);1880-1900;"";""
171109;DECT (Téléphone domestique);1880-1900;"";""
171130;DECT (Téléphone domestique);1880-1900;"";""
171138;DECT (Téléphone domestique);1880-1900;"";""
171144;DECT (Téléphone domestique);1880-1900;"";""
171152;DECT (Téléphone domestique);1880-1900;"";""
171155;DECT (Téléphone domestique);1880-1900;"";""
171176;DECT (Téléphone domestique);1880-1900;"";""
171179;DECT (Téléphone domestique);1880-1900;"";""
171184;DECT (Téléphone domestique);1880-1900;"";""
171199;DECT (Téléphone domestique);1880-1900;"";""
171227;DECT (Téléphone domestique);1880-1900;"";""
171381;DECT (Téléphone domestique);1880-1900;"";""
171389;DECT (Téléphone domestique);1880-1900;"";""
171434;DECT (Téléphone domestique);1880-1900;"";""
171730;DECT (Téléphone domestique);1880-1900;"";""
172032;DECT (Téléphone domestique);1880-1900;"";""
172124;DECT (Téléphone domestique);1880-1900;"";""
172384;DECT (Téléphone domestique);1880-1900;"";""
172416;DECT (Téléphone domestique);1880-1900;"";""
172537;DECT (Téléphone domestique);1880-1900;"";""
172549;DECT (Téléphone domestique);1880-1900;"";""
172666;DECT (Téléphone domestique);1880-1900;"";""
172760;DECT (Téléphone domestique);1880-1900;"";""
172908;DECT (Téléphone domestique);1880-1900;"";""
172933;DECT (Téléphone domestique);1880-1900;"";""
172943;DECT (Téléphone domestique);1880-1900;"";""
172999;DECT (Téléphone domestique);1880-1900;"";""
173005;DECT (Téléphone domestique);1880-1900;"";""
173014;DECT (Téléphone domestique);1880-1900;"";""
173078;DECT (Téléphone domestique);1880-1900;"";""
173082;DECT (Téléphone domestique);1880-1900;"";""
