Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
53555;5.076666666666666;45.614444444444445;"45°36'52.000""N 5°4'36.000""E";38189;LE VALENTIER;"";38540;HEYRIEUX;Pylône autostable;30.0;TOTEM
57729;4.071666666666666;45.59361111111111;"45°35'37.000""N 4°4'18.000""E";42147;"";54 AV THERMALE;42600;MONTBRISON;Immeuble;16.0;"Commune, communauté de commune"
96426;4.473611111111111;45.344722222222224;"45°20'41.000""N 4°28'25.000""E";42224;LA PAUZE;"";42660;SAINT GENEST MALIFAUX;Pylône autostable;18.0;TOTEM
96458;4.2775;45.43833333333333;"45°26'18.000""N 4°16'39.000""E";42218;LA CÔTE;ST-VICTOR-SUR-LOIRE;42000;SAINT ETIENNE;Pylône autostable;15.0;TOTEM
96488;4.0425;45.423611111111114;"45°25'25.000""N 4°2'33.000""E";42091;PICHILLON;"";42380;ESTIVAREILLES;Pylône autostable;25.0;TOTEM
96490;4.0775;45.461666666666666;"45°27'42.000""N 4°4'39.000""E";42126;TRIOLS;"";42380;LURIECQ;Pylône autostable;12.0;TOTEM
96554;4.422777777777778;45.40416666666667;"45°24'15.000""N 4°25'22.000""E";42172;OLLAGNIÈRE;"";42660;PLANFOY;Bâtiment;6.0;ORANGE
102668;4.567777777777778;45.596111111111114;"45°35'46.000""N 4°34'4.000""E";69184;"";PRÈS DE LA RIVIÈRE PLATTE STADE;69440;SAINTE CATHERINE;Pylône tubulaire;18.0;TOTEM
136494;4.996111111111111;45.346944444444446;"45°20'49.000""N 4°59'46.000""E";38290;"";LA VIE MARCHÈRE CHEM DE FERBY;38270;PACT;Pylône autostable;23.0;TOTEM
244261;4.888888888888889;45.526944444444446;"45°31'37.000""N 4°53'20.000""E";38544;"";CHEM DES ADOUSES SEIGNE;38200;VIENNE;Pylône autostable;15.0;TOTEM
