Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
101111;0382290172;26/06/1998;20/03/1998;21/10/2022
102201;0432290028;21/08/1998;21/08/1998;08/04/2022
105366;0432290029;11/12/1998;30/11/2017;13/01/2023
105392;0692290267;11/12/1998;16/01/1998;08/04/2022
107068;0422290122;19/02/1999;19/02/1999;14/04/2023
110778;0422290128;06/08/1999;01/07/1999;10/02/2023
112904;0382290191;29/10/1999;31/08/1999;29/04/2022
1138264;0422290282;25/10/2013;29/08/2014;25/04/2022
114264;0422290131;17/12/1999;14/12/1999;27/10/2017
1152726;0422290284;06/12/2013;06/06/2014;03/02/2023
1252806;0382290461;01/08/2014;30/03/2015;15/04/2022
1299585;0422290290;06/02/2015;09/12/2013;09/06/2023
1327198;0422290291;30/04/2015;30/01/2006;24/02/2023
1462582;0422290309;16/09/2016;13/02/2017;30/06/2023
1467576;0422290310;30/09/2016;18/01/2017;22/05/2023
1467577;0422290311;30/09/2016;31/01/2017;04/08/2023
1469267;0422290312;07/10/2016;11/01/2017;22/05/2023
1470893;0692290747;14/10/2016;10/04/2017;23/12/2022
1473933;0422290313;28/10/2016;28/11/2016;05/05/2023
1476369;0422290314;04/11/2016;12/12/2016;25/08/2023
1477339;0422290315;04/11/2016;17/01/2017;01/09/2023
1478885;0422290316;04/11/2016;12/06/2017;10/02/2023
1491502;0692290749;16/12/2016;08/01/2018;21/07/2023
1548713;0632290310;12/05/2017;11/01/2017;01/07/2022
1552433;0422290320;29/05/2017;11/06/2018;01/09/2023
1552798;0422290321;29/05/2017;08/11/2017;25/08/2023
1603922;0422290323;10/11/2017;10/01/2018;25/04/2022
1603924;0422290324;03/11/2017;23/05/2019;19/11/2021
1627128;0422290325;12/01/2018;31/01/2018;25/08/2023
1654253;0692290773;30/03/2018;03/04/2018;15/04/2022
1658068;0422290328;13/04/2018;25/10/2018;01/09/2023
1674354;0692290777;18/05/2018;30/10/2018;16/04/2021
1713321;0382290494;10/08/2018;13/03/2019;25/11/2022
1723856;0422290331;14/09/2018;20/11/2019;20/01/2023
1724233;0422290330;14/09/2018;15/01/2019;16/08/2023
1724313;0382290495;14/09/2018;04/10/2019;21/01/2022
1728222;0422290332;21/09/2018;12/12/2019;07/05/2021
1781828;0692290802;08/02/2019;28/09/2020;03/02/2023
1791039;0422290341;01/03/2019;05/12/2019;27/03/2020
1835376;0432290144;14/06/2019;31/05/2021;""
1835864;0422290344;14/06/2019;14/04/2020;08/07/2022
1849839;0422290345;26/07/2019;16/06/2020;""
1851622;0692290816;26/07/2019;22/09/2020;07/02/2020
1886148;0422290350;31/10/2019;13/11/2019;""
1887550;0382290515;08/11/2019;22/10/2020;21/04/2023
1900060;0422290353;06/12/2019;12/12/2019;03/06/2022
190349;0422290132;28/01/2000;09/08/2000;01/04/2022
1908184;0422290354;27/12/2019;09/06/2020;""
1908669;0422290355;06/01/2020;14/05/2020;04/08/2023
1912184;0382290522;10/01/2020;10/01/2022;""
1912339;0382290523;10/01/2020;17/03/2021;""
1912640;0382290525;10/01/2020;15/11/2019;14/11/2022
1919491;0422290357;07/02/2020;10/02/2020;15/04/2022
1920856;0692290847;07/02/2020;03/08/2020;04/03/2022
1925087;0422290358;21/02/2020;08/03/2020;22/07/2022
1927332;0422290360;28/02/2020;02/06/2020;""
1934779;0422290361;20/03/2020;14/01/2021;""
1938513;0382290528;03/04/2020;20/12/2021;""
194498;0422290134;16/06/2000;14/03/2000;07/04/2023
195146;0422290136;07/07/2000;27/06/2000;17/02/2023
195147;0422290137;07/07/2000;09/10/2000;14/04/2023
195149;0422290139;07/07/2000;11/08/2000;14/04/2023
196104;0422290140;04/08/2000;11/08/2000;08/02/2019
1971561;0422290365;10/07/2020;"";""
1974369;0692290863;17/07/2020;14/02/2022;""
1976242;0382290536;24/07/2020;26/10/2020;""
198083;0422290141;06/10/2000;16/08/2000;10/02/2023
198085;0422290143;06/10/2000;10/05/2001;31/03/2023
198086;0422290144;06/10/2000;11/08/2000;30/06/2023
198087;0422290145;06/10/2000;11/10/2000;23/06/2023
1984698;0422290366;21/08/2020;20/03/2023;""
198636;0422290146;20/10/2000;16/09/2008;01/04/2022
198637;0422290147;20/10/2000;15/01/2001;14/04/2023
198638;0422290148;20/10/2000;24/10/2000;04/03/2022
198639;0422290149;20/10/2000;28/07/2000;10/03/2023
198641;0422290151;20/10/2000;11/08/2000;14/04/2023
198642;0422290152;20/10/2000;01/09/2000;07/04/2023
1991565;0632290392;25/09/2020;22/12/2020;01/07/2022
199705;0422290153;17/11/2000;17/11/2000;01/03/2019
200342;0422290154;01/12/2000;06/02/2001;08/04/2022
200358;0692290306;01/12/2000;31/01/2001;04/11/2016
2006988;0382290540;30/10/2020;16/03/2020;17/03/2023
2009635;0632290393;30/10/2020;10/11/2020;28/04/2023
2031720;0422290370;11/12/2020;22/02/2021;16/08/2023
2031849;0382290543;11/12/2020;31/05/2021;01/07/2022
2042697;0692290873;06/01/2021;15/03/2021;28/04/2023
2044848;0422290375;06/01/2021;17/12/2020;14/10/2022
2045529;0382290546;08/01/2021;28/11/2022;""
2048580;0382290547;08/01/2021;25/03/2021;22/05/2023
205766;0422290155;25/05/2001;18/06/2001;15/04/2022
2083101;0382290550;19/03/2021;03/04/2023;""
2104169;0692290880;17/05/2021;20/12/2021;""
2104170;0422290380;17/05/2021;21/09/2021;""
2115965;0422290382;11/06/2021;02/08/2021;25/08/2023
2117262;0422290383;18/06/2021;12/04/2021;20/01/2023
2128256;0422290385;16/07/2021;16/07/2021;28/10/2022
213944;0382290204;30/11/2001;30/06/2001;13/01/2023
213945;0382290205;30/11/2001;30/05/2001;29/04/2022
2141477;0422290390;13/08/2021;11/02/2022;""
214312;0692290314;07/12/2001;20/10/2000;01/03/2019
214725;0422290167;14/12/2001;28/12/2000;14/04/2023
215071;0382290216;21/12/2001;11/07/2001;18/02/2022
2160508;0382290558;10/09/2021;11/04/2022;""
216108;0382290224;01/02/2002;04/10/2000;04/08/2023
2161947;0422290392;17/09/2021;17/08/2021;28/10/2022
2161958;0382290559;17/09/2021;05/11/2021;""
2170823;0382290560;01/10/2021;20/12/2021;""
2191323;0382290565;19/11/2021;23/12/2021;26/08/2022
2193752;0382290566;26/11/2021;12/09/2022;""
2221189;0692290891;03/01/2022;27/12/2021;25/11/2022
2222271;0382290568;03/01/2022;27/12/2021;28/04/2023
2229299;0422290394;14/01/2022;"";""
2229891;0422290395;14/01/2022;01/08/2022;07/04/2023
2230773;0422290396;21/01/2022;17/01/2023;""
2258357;0422290398;25/03/2022;18/04/2022;""
2262595;0382290573;08/04/2022;"";""
2267004;0422290399;15/04/2022;03/05/2022;21/04/2023
2269067;0382290574;25/04/2022;01/07/2022;""
2278411;0382290577;30/05/2022;21/11/2022;""
2288928;0422290405;10/06/2022;22/07/2022;21/04/2023
2301568;0422290407;08/07/2022;04/07/2023;""
2327281;0692290900;26/08/2022;"";""
2329289;0632290442;02/09/2022;26/08/2022;07/04/2023
2330719;0422290411;02/09/2022;"";""
2330720;0422290412;16/09/2022;12/06/2023;""
2345884;0422290413;14/10/2022;"";""
2350904;0382290586;28/10/2022;05/09/2022;""
2387510;0422290415;06/01/2023;19/12/2022;""
2388494;0422290416;06/01/2023;21/12/2022;""
2394005;0692290906;13/01/2023;06/03/2023;""
2412538;0692290913;17/02/2023;"";""
2457513;0692290919;22/05/2023;"";""
2459893;0692290920;26/05/2023;26/12/2022;""
2468845;0422290423;16/06/2023;22/06/2023;""
2468846;0422290424;16/06/2023;22/06/2023;""
2468872;0422290425;09/06/2023;26/06/2023;""
2486398;0422290427;28/07/2023;19/03/2023;""
305617;0382290238;14/08/2002;31/01/2002;25/08/2023
305623;0422290175;04/10/2002;19/10/2002;09/09/2022
307753;0422290169;22/11/2002;07/12/2002;10/03/2023
307963;0422290178;22/11/2002;28/08/2004;22/07/2022
319863;0692290335;27/06/2003;04/07/2003;08/04/2022
319865;0692290324;04/07/2003;11/07/2003;13/01/2023
